objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year,value_formula,,,HLICT_Code,Community_school
,Bhojpur Nagarpalika,BHOJPUR,Bhojpur,Nagarpalika,1,10,98,10604,524 1 10 3 002,NP0110302,e_i_f_n_c_s,45,Community School,,Total number of schools community/institutional,,45,,,524 4 40 3 004,54
,Salpasilichho Gaunpalika,BHOJPUR,Salpasilichho,Gaunpalika,1,10,102,10602,524 1 10 4 001,NP0110401,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 7 72 3 002,61
,Tyamkemaiyung Gaunpalika,BHOJPUR,Tyamkemaiyung,Gaunpalika,1,10,104,10603,524 1 10 4 002,NP0110402,e_i_f_n_c_s,46,Community School,,Total number of schools community/institutional,,46,,,524 3 22 3 001,49
,Arun Gaunpalika,BHOJPUR,Arun,Gaunpalika,1,10,97,10605,524 1 10 4 003,NP0110403,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 3 31 4 004,52
,Ramprasad Rai Gaunpalika,BHOJPUR,Ramprasad Rai,Gaunpalika,1,10,101,10607,524 1 10 4 004,NP0110404,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 4 36 4 007,45
,Pauwadungma Gaunpalika,BHOJPUR,Pauwadungma,Gaunpalika,1,10,100,10606,524 1 10 4 005,NP0110405,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 4 41 3 002,48
,Aamchowk Gaunpalika,BHOJPUR,Aamchowk,Gaunpalika,1,10,96,10609,524 1 10 4 006,NP0110406,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 1 10 3 002,45
,Hatuwagadhi Gaunpalika,BHOJPUR,Hatuwagadhi,Gaunpalika,1,10,99,10608,524 1 10 4 007,NP0110407,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 1 06 4 002,41
,Solududhakunda Nagarpalika,SOLUKHUMBU,Solududhakunda,Nagarpalika,1,11,111,10307,524 1 11 3 001,NP0111301,e_i_f_n_c_s,64,Community School,,Total number of schools community/institutional,,64,,,524 5 77 4 003,37
,Khumbupasanglahmu Gaunpalika,SOLUKHUMBU,Khumbupasanglahmu,Gaunpalika,1,11,107,10301,524 1 11 4 001,NP0111401,e_i_f_n_c_s,19,Community School,,Total number of schools community/institutional,,19,,,524 3 23 4 004,32
,Mahakulung Gaunpalika,SOLUKHUMBU,Mahakulung,Gaunpalika,1,11,109,10302,524 1 11 4 002,NP0111402,e_i_f_n_c_s,19,Community School,,Total number of schools community/institutional,,19,,,524 1 09 4 002,23
,Likhupike Gaunpalika,SOLUKHUMBU,Likhupike,Gaunpalika,1,11,108,10308,524 1 11 4 003,NP0111403,e_i_f_n_c_s,22,Community School,,Total number of schools community/institutional,,22,,,524 5 50 3 001,64
,Dudhkoshi Gaunpalika,SOLUKHUMBU,Dudhkoshi,Gaunpalika,1,11,106,10304,524 1 11 4 004,NP0111404,e_i_f_n_c_s,40,Community School,,Total number of schools community/institutional,,40,,,524 3 24 4 001,49
,Nechasalyan Gaunpalika,SOLUKHUMBU,Nechasalyan,Gaunpalika,1,11,110,10306,524 1 11 4 005,NP0111405,e_i_f_n_c_s,44,Community School,,Total number of schools community/institutional,,44,,,524 2 17 3 010,15
,Dudhkaushika Gaunpalika,SOLUKHUMBU,Dudhkaushika,Gaunpalika,1,11,105,10305,524 1 11 4 006,NP0111406,e_i_f_n_c_s,53,Community School,,Total number of schools community/institutional,,53,,,524 3 28 3 001,69
,Sotang Gaunpalika,SOLUKHUMBU,Sotang,Gaunpalika,1,11,112,10303,524 1 11 4 007,NP0111407,e_i_f_n_c_s,26,Community School,,Total number of schools community/institutional,,26,,,524 3 22 4 001,42
,Halesi Tuwachung Nagarpalika,KHOTANG,Halesi Tuwachung,Nagarpalika,1,12,124,10504,524 1 12 3 001,NP0112301,e_i_f_n_c_s,89,Community School,,Total number of schools community/institutional,,89,,,524 4 42 4 003,31
,Rupakot Majhuwagadhi Nagarpalika,KHOTANG,Rupakot Majhuwagadhi,Nagarpalika,1,12,129,10505,524 1 12 3 002,NP0112302,e_i_f_n_c_s,93,Community School,,Total number of schools community/institutional,,93,,,524 5 49 4 001,41
,Ainselukhark Gaunpalika,KHOTANG,Ainselukhark,Gaunpalika,1,12,121,10502,524 1 12 4 001,NP0112401,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 4 47 4 004,37
,Kepilasagadhi Gaunpalika,KHOTANG,Kepilasagadhi,Gaunpalika,1,12,126,10501,524 1 12 4 002,NP0112402,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 2 34 4 010,10
,Lamidanda Gaunpalika,KHOTANG,Lamidanda,Gaunpalika,1,12,128,10503,524 1 12 4 003,NP0112403,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 1 05 1 001,83
,Diprung Gaunpalika,KHOTANG,Diprung,Gaunpalika,1,12,123,10507,524 1 12 4 004,NP0112404,e_i_f_n_c_s,50,Community School,,Total number of schools community/institutional,,50,,,524 6 59 3 003,73
,Sakela Gaunpalika,KHOTANG,Sakela,Gaunpalika,1,12,130,10506,524 1 12 4 005,NP0112405,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 2 34 1 001,95
,Khotehang Gaunpalika,KHOTANG,Khotehang,Gaunpalika,1,12,127,10508,524 1 12 4 006,NP0112406,e_i_f_n_c_s,51,Community School,,Total number of schools community/institutional,,51,,,524 1 04 3 007,26
,Barahapokhari Gaunpalika,KHOTANG,Barahapokhari,Gaunpalika,1,12,122,10510,524 1 12 4 007,NP0112407,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 4 41 4 004,34
,Jantedhunga Gaunpalika,KHOTANG,Jantedhunga,Gaunpalika,1,12,125,10509,524 1 12 4 008,NP0112408,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 2 19 4 008,7
,Siddhicharan Nagarpalika,OKHALDHUNGA,Siddhicharan,Nagarpalika,1,13,119,10402,524 1 13 3 001,NP0113301,e_i_f_n_c_s,54,Community School,,Total number of schools community/institutional,,54,,,524 2 15 4 007,21
,Khijidemba Gaunpalika,OKHALDHUNGA,Khijidemba,Gaunpalika,1,13,115,10404,524 1 13 4 001,NP0113401,e_i_f_n_c_s,54,Community School,,Total number of schools community/institutional,,54,,,524 2 16 4 002,13
