District ,Name of municipalities,HLCIT_CODE,cbs code,Total,Without any toilet facility,Flush Toilet ,Ordinary Toilet ,Toilet Facility not stated
Kanchanpur,Mahakali Municipality,524 7 72 3 001,70303,7392,1984,1716,3644,48
Kanchanpur,Punarbas Municipality,524 7 72 3 007,70907,9909,4436,2650,2740,83
Kanchanpur,Shuklaphanta Municipality,524 7 72 3 004,70902,8857,5343,2285,1198,31
Kapilbastu,Banganga Municipality,524 5 49 3 003,50901,15965,4241,8612,3028,84
Kapilbastu,Bijayanagar Gaunpalika,524 5 49 4 001,50904,5670,4762,352,512,44
Kapilbastu,Buddhabhumi Municipality,524 5 49 3 002,50902,11521,6709,4270,491,51
Kapilbastu,Kapilbastu Municipality,524 5 49 3 006,50907,12094,8463,2702,825,104
Kapilbastu,Krishnanagar Municipality,524 5 49 3 004,50905,8521,6781,1154,441,145
Kapilbastu,Maharajganj Municipality,524 5 49 3 005,50906,7977,7346,500,104,27
Kapilbastu,Mayadevi Gaunpalika,524 5 49 4 003,50812,6507,5733,619,81,74
Kapilbastu,Shivaraj Municipality,524 5 49 3 001,50903,11250,7993,2757,458,42
Kapilbastu,Shuddhodhan Gaunpalika,524 5 49 4 004,50806,6346,5638,273,301,134
Kapilbastu,Yasodhara Gaunpalika,524 5 49 4 002,50908,5413,4801,364,179,69
Kaski,Annapurna Gaunpalika,524 4 39 4 001,40401,6029,139,5188,680,22
Kaski,Machhapuchchhre Gaunpalika,524 4 39 4 002,40502,5512,99,4948,437,28
Kaski,Madi Gaunpalika,524 4 39 4 003,10209,4508,85,4186,225,12
Kaski,Pokhara Lekhnath Metropolitian City,524 4 39 1 001,40504,105630,698,98061,6475,396
Kaski,Rupa Gaunpalika,524 4 39 4 004,40505,3780,40,3618,117,5
Kathmandu,Budhanilkhantha Municipality,524 3 27 3 003,30604,26485,220,22050,4055,160
Kathmandu,Chandragiri Municipality,524 3 27 3 008,30610,20532,436,16840,3092,164
Kathmandu,Dakshinkali Municipality,524 3 27 3 010,30611,5488,820,3643,987,38
Kathmandu,Gokarneshwor Municipality,524 3 27 3 004,30603,27106,368,22975,3465,298
Kathmandu,Kageshwori Manahara Municipality,524 3 27 3 006,30602,14329,327,9627,4273,102
Kathmandu,Kathmandu Metropolitian City,524 3 27 1 001,30601,254292,545,234299,17274,2174
Kathmandu,Kirtipur Municipality,524 3 27 3 009,30609,19441,92,17758,1468,123
Kathmandu,Nagarjun Municipality,524 3 27 3 005,30607,16746,229,14515,1890,112
Kathmandu,Shankharapur Municipality,524 3 27 3 007,30601,5406,1328,2907,1138,33
Kathmandu,Tarakeshwor Municipality,524 3 27 3 001,30507,20158,469,17758,1805,126
Kathmandu,Tokha Municipality,524 3 27 3 002,30605,25561,200,23370,1854,137
Kavrepalanchok,Banepa Municipality,524 3 24 3 002,30904,12106,802,9452,1708,144
Kavrepalanchok,Bethanchowk Gaunpalika,524 3 24 4 003,30910,3601,1326,1670,595,10
Kavrepalanchok,Bhumlu Gaunpalika,524 3 24 4 001,30902,4513,1796,1648,1034,35
Kavrepalanchok,Chauri Deurali Gaunpalika,524 3 24 4 002,30901,4664,2001,1946,695,22
Kavrepalanchok,Dhulikhel Municipality,524 3 24 3 003,30905,7061,1307,4521,993,240
Kavrepalanchok,Khanikhola Gaunpalika,524 3 24 4 006,30913,2372,1275,1053,36,8
Kavrepalanchok,Mahabharat Gaunpalika,524 3 24 4 007,30912,2910,972,1746,171,21
Kavrepalanchok,Mandan Deupur Municipality,524 3 24 3 001,30903,7328,2448,3708,1143,29
Kavrepalanchok,Namobuddha Municipality,524 3 24 3 006,30908,6584,2431,2638,1478,37
Kavrepalanchok,Panauti Municipality,524 3 24 3 005,30909,10196,1186,7268,1673,69
Kavrepalanchok,Panchkhal Municipality,524 3 24 3 004,30906,8544,2308,5154,1041,41
Kavrepalanchok,Roshi Gaunpalika,524 3 24 4 004,30911,5896,3208,1954,709,25
Kavrepalanchok,Temal Gaunpalika,524 3 24 4 005,30907,4876,648,3943,263,22
Khotang,Aiselukharka Gaunpalika,524 1 12 4 001,10502,3491,893,571,2019,8
Khotang,Baraha Pokhari Gaunpalika,524 1 12 4 007,10510,2702,1814,223,639,26
Khotang,Diprung Gaunpalika,524 1 12 4 004,10507,4140,1373,381,2365,21
Khotang,Halesi Tuwachung Municipality,524 1 12 3 001,10504,5838,3258,437,2117,26
Khotang,Jante Dhunga Gaunpalika,524 1 12 4 008,10509,3175,1998,141,1015,21
Khotang,Kepilasgadhi Gaunpalika,524 1 12 4 002,10501,3347,986,140,2206,15
Khotang,Khotehang Gaunpalika,524 1 12 4 006,10508,4703,2227,429,2033,14
Khotang,Lamidanda Gaunpalika,524 1 12 4 003,10503,2793,904,451,1430,8
Khotang,Rupakot Majhuwagadhi Municipality,524 1 12 3 002,10505,10050,1927,2730,5333,60
Khotang,Sakela Gaunpalika,524 1 12 4 005,10506,2408,250,880,1265,13
Lalitpur,Bagmati Gaunpalika,524 3 25 4 001,20503,2614,1244,715,644,11
Lalitpur,Godawari Municipality,524 3 25 3 001,30803,17762,1560,12016,4002,184
Lalitpur,Konjyosom Gaunpalika,524 3 25 4 002,30804,2001,912,672,404,13
Lalitpur,Lalitpur Metropolitian City,524 3 25 1 001,30801,70256,338,64825,4539,554
Lalitpur,Mahalaxmi Municipality,524 3 25 3 002,10701,14930,100,12225,2287,318
Lalitpur,Mahankal Gaunpalika,524 3 25 4 003,30805,1942,581,1084,263,14
Lamjung,Bensi Shahar Municipality,524 4 37 3 002,40605,10422,630,8140,1612,40
Lamjung,Dordi Gaunpalika,524 4 37 4 003,40601,4337,2006,1625,700,6
Lamjung,Dudhapokhari Gaunpalika,524 4 37 4 004,40608,2590,1111,935,542,2
Lamjung,Kwhola Sothar Gaunpalika,524 4 37 4 001,40603,2452,873,1097,472,10
Lamjung,Madhya Nepal Municipality,524 4 37 3 001,40604,5888,853,2892,2126,17
Lamjung,Marshyangdi Gaunpalika,524 4 37 4 002,40602,4409,1301,1947,1151,10
Lamjung,Rainas Municipality,524 4 37 3 004,40607,4751,975,2562,1192,22
Lamjung,Sundarbazar Municipality,524 4 37 3 003,40606,7199,292,5609,1259,39
Mahottari,Aurahi Municipality,524 2 18 3 003,20216,5822,4869,635,293,25
Mahottari,Balawa Municipality,524 2 18 3 007,20407,7661,6137,737,761,26
Mahottari,Bardibas Municipality,524 2 18 3 001,20401,13113,7327,2877,2862,47
Mahottari,Bhangaha Municipality,524 2 18 3 004,20405,8560,7136,640,739,45
Mahottari,Ekadara Gaunpalika,524 2 18 4 003,20411,4809,3723,581,492,13
Mahottari,Gaushala Municipality,524 2 18 3 002,20402,11893,9595,1451,785,62
Mahottari,Jaleshwor Municipality,524 2 18 3 009,20415,10034,5570,2738,1607,119
Mahottari,Loharpatti Municipality,524 2 18 3 008,20406,7317,5034,1446,807,30
Mahottari,Mahottari Gaunpalika,524 2 18 4 004,20412,4861,3541,680,636,4
Mahottari,Manara Shisawa Municipality,524 2 18 3 006,20410,8532,6017,1603,835,77
Mahottari,Matihani Municipality,524 2 18 3 010,20414,5226,3731,904,564,27
Mahottari,Pipara Gaunpalika,524 2 18 4 005,20413,6490,3389,1321,1746,34
Mahottari,Ram Gopalpur Municipality,524 2 18 3 005,20408,5257,4576,467,181,33
Mahottari,Samsi Gaunpalika,524 2 18 4 002,20409,5382,4446,532,372,32
Mahottari,Sonama Gaunpalika,524 2 18 4 001,20403,6341,5597,539,143,62
Makwanpur,Bagmati Gaunpalika,524 3 31 4 008,20503,5731,4352,664,705,10
Makwanpur,Bakaiya Gaunpalika,524 3 31 4 007,31209,7538,5743,1279,509,7
Makwanpur,Bhimphedi Gaunpalika,524 3 31 4 004,31207,4810,1654,2255,888,13
Makwanpur,Hetauda Sub-Metropolitian City,524 3 31 2 001,31206,34270,5048,22969,6133,120
Makwanpur,Indrasarowar Gaunpalika,524 3 31 4 005,31201,3054,967,1783,296,8
Makwanpur,Kailash Gaunpalika,524 3 31 4 003,31203,4263,3530,363,355,15
Makwanpur,Makawanpurgadhi Gaunpalika,524 3 31 4 006,31208,5003,2154,1982,845,22
Makwanpur,Manahari Gaunpalika,524 3 31 4 001,31205,7891,3963,2351,1569,8
Makwanpur,Raksirang Gaunpalika,524 3 31 4 002,31204,4557,3591,283,679,4
Makwanpur,Thaha Municipality,524 3 31 3 001,31202,8928,3707,3908,1296,17
Manang,Chame Gaunpalika,524 4 38 4 003,40203,279,57,172,50,0
Manang,Naraphu Gaunpalika,524 4 38 4 002,40201,122,108,11,3,0
Manang,Nashong Gaunpalika,524 4 38 4 004,40204,454,89,267,94,4
Manang,Neshang Gaunpalika,524 4 38 4 001,40202,593,247,240,105,1
Morang,Belbari Municipality,524 1 05 3 003,11205,15338,4808,5947,4513,70
Morang,Biratnagar Metropolitian City,524 1 05 1 001,11214,47798,6831,32932,7675,360
Morang,Budhiganga Gaunpalika,524 1 05 4 004,11213,9621,4897,2766,1924,34
Morang,Dhanapalthan Gaunpalika,524 1 05 4 008,11216,7957,5642,1591,700,24
Morang,Gramthan Gaunpalika,524 1 05 4 005,11212,7920,5192,1613,1087,28
Morang,Jahada Gaunpalika,524 1 05 4 007,11217,8175,7446,397,319,13
Morang,Kanepokhari Gaunpalika,524 1 05 4 003,11206,8683,2673,3517,2466,27
Morang,Katahari Gaunpalika,524 1 05 4 006,11215,8009,5779,1264,948,18
Morang,Kerabari Gaunpalika,524 1 05 4 001,11203,6991,1708,2809,2456,18
Morang,Letang Municipality,524 1 05 3 001,11202,7339,1354,3374,2590,21
Morang,Miklajung Gaunpalika,524 1 05 4 002,10908,6417,1716,2372,2317,12
Morang,Pathari Shanishchare Municipality,524 1 05 3 004,11207,13956,2347,7229,4321,59
Morang,Rangeli Municipality,524 1 05 3 006,11211,11249,6656,3037,1535,21
Morang,Ratuwamai Municipality,524 1 05 3 008,11209,12482,6656,2871,2936,19
Morang,Sundarharaicha Municipality,524 1 05 3 002,11204,18610,4545,6327,7632,106
Morang,Sunwarshi Municipality,524 1 05 3 007,11210,10795,7819,2003,937,36
Morang,Urlabari Municipality,524 1 05 3 005,11208,12530,1409,7561,3551,9
Mugu,Chhayanath Rara Municipality,524 6 65 3 001,60202,3641,1098,137,2373,33
Mugu,Khatyad Gaunpalika,524 6 65 4 001,60204,2821,2034,280,465,42
Mugu,Mugumakarmarog Gaunpalika,524 6 65 4 003,60201,1029,651,167,207,4
Mugu,Soru Gaunpalika,524 6 65 4 002,60203,2109,1172,755,153,29
Mustang,Bahragaun Muktikshetra Gaunpalika,524 4 45 4 003,40303,725,341,228,155,1
Mustang,Dalome Gaunpalika,524 4 45 4 002,40301,404,185,31,185,3
Mustang,Gharpajhong Gaunpalika,524 4 45 4 004,40302,874,198,640,31,5
Mustang,Lomanthang Gaunpalika,524 4 45 4 001,40304,532,239,9,282,2
Mustang,Thasang Gaunpalika,524 4 45 4 005,40305,770,248,474,43,5
Myagdi,Annapurna Gaunpalika,524 4 44 4 003,40401,3700,380,1943,1355,22
Myagdi,Beni Municipality,524 4 44 3 001,40406,8652,1040,6223,1378,11
Myagdi,Dhawalagiri Gaunpalika,524 4 44 4 001,40403,3229,1400,729,1090,10
Myagdi,Malika Gaunpalika,524 4 44 4 004,40404,4223,1053,1650,1504,16
Myagdi,Mangala Gaunpalika,524 4 44 4 005,40405,3825,221,1932,1670,2
Myagdi,Raghuganga Gaunpalika,524 4 44 4 002,40402,4098,1055,2033,1004,6
Nawalparasi,Bardaghat Municipality,524 5 76 3 002,50701,13415,3782,5812,3758,63
Nawalparasi,Binayi Tribeni Gaunpalika,524 4 47 4 004,40808,6916,2329,3269,1287,31
Nawalparasi,Bulingtar Gaunpalika,524 4 47 4 002,40802,3487,1760,1297,422,8
Nawalparasi,Bungdikali Gaunpalika,524 4 47 4 001,40803,2998,1685,786,521,6
Nawalparasi,Devchuli Municipality,524 4 47 3 003,40805,9256,612,6744,1846,54
Nawalparasi,Gaidakot Municipality,524 4 47 3 004,40801,13623,1069,9761,2724,69
Nawalparasi,Hupsekot Gaunpalika,524 4 47 4 003,40804,4588,1414,2487,645,42
Nawalparasi,Kawasoti Municipality,524 4 47 3 002,40806,14104,2224,9934,1870,76
Nawalparasi,Madhya Bindu Municipality,524 4 47 3 001,40807,11943,3484,6405,2003,51
Nawalparasi,Palhinandan Gaunpalika,524 5 76 4 001,50704,5881,4930,670,255,26
Nawalparasi,Pratapapur Gaunpalika,524 5 76 4 003,50706,7386,5697,1270,355,64
Nawalparasi,Ramgram Municipality,524 5 76 3 003,50703,10282,7585,2284,345,68
Nawalparasi,Sarawal Gaunpalika,524 5 76 4 002,50705,6633,4567,1452,552,62
Nawalparasi,Sunawal Municipality,524 5 76 3 001,50702,12018,3374,6934,1619,91
Nawalparasi,Susta Gaunpalika,524 5 76 4 004,50707,6230,4422,873,896,39
Nuwakot,Belkotgadhi Municipality,524 3 28 3 002,30508,8099,3434,2924,1669,72
Nuwakot,Bidur Municipality,524 3 28 3 001,30504,12505,2436,8126,1850,93
Nuwakot,Dupcheshwor Gaunpalika,524 3 28 4 008,30501,4451,2517,675,1216,43
Nuwakot,Kakani Gaunpalika,524 3 28 4 009,30512,5183,2793,1376,941,73
Nuwakot,Kispang Gaunpalika,524 3 28 4 002,30505,3340,1697,1026,582,35
Nuwakot,Likhu Gaunpalika,524 3 28 4 006,10405,3629,903,1790,915,21
Nuwakot,Meghang Gaunpalika,524 3 28 4 001,30506,3388,1583,932,850,23
Nuwakot,Panchakanya Gaunpalika,524 3 28 4 007,30510,3321,1205,1349,741,26
Nuwakot,Shivapuri Gaunpalika,524 3 28 4 010,30511,4676,2526,896,1217,37
Nuwakot,Suryagadhi Gaunpalika,524 3 28 4 004,30503,3509,1649,1012,818,30
Nuwakot,Tadi Gaunpalika,524 3 28 4 005,30502,3582,2029,965,570,18
Nuwakot,Tarakeshwor Gaunpalika,524 3 28 4 003,30507,3511,1301,1279,898,33
Okhaldhunga,Champadevi Gaunpalika,524 1 13 4 004,10406,3796,1662,454,1655,25
Okhaldhunga,Chishankhu Gadhi Gaunpalika,524 1 13 4 006,10401,3334,732,136,2437,29
Okhaldhunga,Khiji Demba Gaunpalika,524 1 13 4 001,10404,3111,866,727,1508,10
Okhaldhunga,Likhu Gaunpalika,524 1 13 4 002,10405,2957,784,794,1369,10
Okhaldhunga,Manebhanjyang Gaunpalika,524 1 13 4 007,10408,4618,1589,1279,1728,22
Okhaldhunga,Molung Gaunpalika,524 1 13 4 003,10403,3669,897,415,2345,12
Okhaldhunga,Siddhicharan Municipality,524 1 13 3 001,10402,6994,1221,1687,3991,95
Okhaldhunga,Sunkoshi Gaunpalika,524 1 13 4 005,10407,3987,1744,437,1782,24
Palpa,Baganaskali Gaunpalika,524 5 46 4 005,50604,5270,636,3603,1023,8
Palpa,Mathagadhi Gaunpalika,524 5 46 4 004,50609,5066,1223,1819,2018,6
Palpa,Nisdi Gaunpalika,524 5 46 4 008,50610,3891,2117,1258,497,19
Palpa,Purbakhola Gaunpalika,524 5 46 4 006,50602,4085,1590,1273,1214,8
Palpa,Rainadevi Chhahara Gaunpalika,524 5 46 4 001,50607,6009,1747,2888,1349,25
Palpa,Rambha Gaunpalika,524 5 46 4 007,50603,4626,956,2042,1624,4
Palpa,Rampur Municipality,524 5 46 3 002,50601,8132,2375,3621,2102,34
Palpa,Ribdikot Gaunpalika,524 5 46 4 003,50606,4647,756,3023,855,13
Palpa,Tansen Municipality,524 5 46 3 001,50605,13646,964,11460,1175,47
Palpa,Tinau Gaunpalika,524 5 46 4 002,50608,3888,1686,1590,597,15
Panchthar,Falelung Gaunpalika,524 1 02 4 003,10903,4552,296,666,3561,29
Panchthar,Falgunanda Gaunpalika,524 1 02 4 005,10905,5162,448,1108,3592,14
Panchthar,Hilihan Gaunpalika,524 1 02 4 001,10902,4792,718,1270,2783,21
Panchthar,Kummayak Gaunpalika,524 1 02 4 004,10906,3500,728,409,2345,18
Panchthar,Miklajung Gaunpalika,524 1 02 4 007,10908,5550,573,1089,3877,11
Panchthar,Phidim Municipality,524 1 02 3 001,10904,10994,810,3229,6924,31
Panchthar,Tumbewa Gaunpalika,524 1 02 4 006,10907,2815,927,215,1669,4
Panchthar,Yangbarak Gaunpalika,524 1 02 4 002,10107,3811,344,1410,2048,9
Parbat,Bihadi Gaunpalika,524 4 42 4 003,41006,2941,345,1550,1032,14
Parbat,Jaljala Gaunpalika,524 4 42 4 001,41002,5561,409,4068,1067,17
Parbat,Kushma Municipality,524 4 42 3 001,41003,10311,858,6740,2692,21
Parbat,Mahashila Gaunpalika,524 4 42 4 004,41005,2229,109,1672,447,1
Parbat,Modi Gaunpalika,524 4 42 4 002,41001,5479,486,3712,1259,22
Parbat,Paiyu Gaunpalika,524 4 42 4 005,41007,3294,439,1624,1228,3
Parbat,Phalebas Municipality,524 4 42 3 002,41004,5883,815,3904,1153,11
Parsa,Bahudarmai Municipality,524 2 34 3 002,20808,5681,4663,520,425,73
Parsa,Bindabasini Gaunpalika,524 2 34 4 010,20814,3576,2870,408,265,33
Parsa,Birgunj Metropolitian City,524 2 34 1 001,20807,39286,14308,19779,4683,516
Parsa,Chhipaharmai Gaunpalika,524 2 34 4 007,20812,3983,3364,365,197,57
Parsa,Dhobini Gaunpalika,524 2 34 4 006,20811,2975,2687,178,84,26
Parsa,Jagarnathpur Gaunpalika,524 2 34 4 005,20803,4953,4550,185,140,78
Parsa,Jirabhawani Gaunpalika,524 2 34 4 002,20802,4117,3824,159,102,32
Parsa,Kalikamai Gaunpalika,524 2 34 4 008,20810,3042,2336,360,292,54
Parsa,Pakaha Mainpur Gaunpalika,524 2 34 4 009,20813,3038,2445,317,198,78
Parsa,Parsagadhi Municipality,524 2 34 3 003,20806,6412,5509,421,437,45
Parsa,Paterwa Sugauli Gaunpalika,524 2 34 4 003,20804,4002,3599,165,208,30
Parsa,Pokhariya Municipality,524 2 34 3 001,20809,4875,4325,393,130,27
Parsa,Sakhuwa Prasauni Gaunpalika,524 2 34 4 004,20805,5329,4786,210,285,48
Parsa,Thori Gaunpalika,524 2 34 4 001,20801,4247,2810,861,558,18
Pyuthan,Aairawati Gaunpalika,524 5 55 4 007,50308,4650,995,1973,1678,4
Pyuthan,Gaumukhi Gaunpalika,524 5 55 4 002,50301,4785,995,2149,1623,18
Pyuthan,Jhimaruk Gaunpalika,524 5 55 4 003,50303,5868,1783,2437,1641,7
Pyuthan,Mallarani Gaunpalika,524 5 55 4 005,50307,4120,554,2568,989,9
Pyuthan,Mandavi Gaunpalika,524 5 55 4 004,50306,3068,1677,898,474,19
Pyuthan,Naubahini Gaunpalika,524 5 55 4 001,50302,5809,1629,2006,2161,13
Pyuthan,Pyuthan Municipality,524 5 55 3 002,50304,8964,2334,4840,1749,41
Pyuthan,Sarumarani Gaunpalika,524 5 55 4 006,50309,3484,1231,767,1477,9
Pyuthan,Sworgadwari Municipality,524 5 55 3 001,50305,6968,2566,2451,1931,20
Ramechhap,Doramba Gaunpalika,524 3 21 4 002,31007,4993,2901,1196,840,56
Ramechhap,Gokulganga Gaunpalika,524 3 21 4 003,31002,4446,1470,2159,784,33
Ramechhap,Khandadevi Gaunpalika,524 3 21 4 005,31006,5372,2413,2088,765,106
Ramechhap,Likhu Gaunpalika,524 3 21 4 006,10405,4928,1436,2454,983,55
Ramechhap,Manthali  Municipality,524 3 21 3 001,31005,10099,2839,4009,3151,100
Ramechhap,Ramechhap Municipality,524 3 21 3 002,31004,6126,2137,2266,1701,22
Ramechhap,Sunapati Gaunpalika,524 3 21 4 001,31008,4050,1786,1502,738,24
Ramechhap,Umakunda Gaunpalika,524 3 21 4 004,31001,3869,1065,1575,1204,25
Rasuwa,Gosaikunda Gaunpalika,524 3 29 4 002,30301,2017,714,877,421,5
Rasuwa,Kalika Gaunpalika,524 3 29 4 004,30304,2089,442,1047,586,14
Rasuwa,Naukunda Gaunpalika,524 3 29 4 005,30305,2483,1534,551,389,9
Rasuwa,Parbatikunda Gaunpalika,524 3 29 4 001,30302,1306,861,244,199,2
Rasuwa,Uttargaya Gaunpalika,524 3 29 4 003,30303,1846,668,887,286,5
Rautahat,Boudhimai Municipality,524 2 32 3 010,20611,4807,3941,503,306,57
Rautahat,Brindaban Municipality,524 2 32 3 005,20605,6374,5724,243,293,114
Rautahat,Chandrapur Municipality,524 2 32 3 002,20601,13445,6045,2945,4312,143
Rautahat,Dewahi Gonahi Municipality,524 2 32 3 007,20609,4691,3992,240,395,64
Rautahat,Durga Bhagawati Gaunpalika,524 2 32 4 002,20615,3812,2681,539,563,29
Rautahat,Gadhimai Municipality,524 2 32 3 009,20606,6069,4762,437,751,119
Rautahat,Garuda Municipality,524 2 32 3 008,20608,7444,5429,708,1215,92
Rautahat,Gaur Municipality,524 2 32 3 015,20617,5635,2753,2027,750,105
Rautahat,Gujara Municipality,524 2 32 3 001,20602,7391,6044,677,483,187
Rautahat,Ishanath Municipality,524 2 32 3 013,20618,5834,4832,543,340,119
Rautahat,Katahariya Municipality,524 2 32 3 004,20604,5919,5339,328,171,81
Rautahat,Madhav Narayan Municipality,524 2 32 3 011,20607,5479,4215,244,964,56
Rautahat,Maulapur Municipality,524 2 32 3 006,20610,3830,3512,97,131,90
Rautahat,Paroha Municipality,524 2 32 3 012,20612,5380,4242,438,557,143
Rautahat,Phatuwa Bijayapur Municipality,524 2 32 3 003,20603,5633,4970,335,264,64
Rautahat,Rajdevi Municipality,524 2 32 3 016,20616,5365,4080,489,712,84
Rautahat,Rajpur Municipality,524 2 32 3 014,20613,5768,4907,478,308,75
Rautahat,Yamunamai Gaunpalika,524 2 32 4 001,20614,3776,3017,349,379,31
Rolpa,Duikholi Gaunpalika,524 5 54 4 002,50203,4018,3180,440,386,12
Rolpa,Lungri Gaunpalika,524 5 54 4 008,50210,4402,3705,338,343,16
Rolpa,Madi Gaunpalika,524 5 54 4 004,10209,3658,3117,331,193,17
Rolpa,Rolpa Municipality,524 5 54 3 001,50207,7133,3892,2394,796,51
Rolpa,Runtigadhi Gaunpalika,524 5 54 4 009,50208,5684,5221,274,175,14
Rolpa,Subarnabati Gaunpalika,524 5 54 4 001,50204,5657,4204,959,473,21
Rolpa,Sukidaha Gaunpalika,524 5 54 4 005,50201,3455,2811,504,127,13
Rolpa,Sunchhahari Gaunpalika,524 5 54 4 007,50209,3016,2455,305,245,11
Rolpa,Thawang Gaunpalika,524 5 54 4 003,50202,2172,1863,177,121,11
Rolpa,Tribeni Gaunpalika,524 5 54 4 006,50206,4540,3819,608,94,19
Rukum,Aathabisakot Municipality,524 6 52 3 001,60605,6421,4291,179,1921,30
Rukum,Banphikot Gaunpalika,524 6 52 4 002,60803,3747,2391,322,1020,14
Rukum,Bhoome Gaunpalika,524 5 77 4 003,50103,3835,3319,135,366,15
Rukum,Chaurjahari Municipality,524 6 52 3 002,60806,5422,3758,912,731,21
Rukum,Musikot Municipality,524 6 52 3 003,50404,7307,2657,2400,2245,5
Rukum,Putha Uttanganga Gaunpalika,524 5 77 4 002,50101,3861,3465,85,303,8
Rukum,Sanibheri Gaunpalika,524 6 52 4 001,60802,4129,3132,487,495,15
Rukum,Sisne Gaunpalika,524 5 77 4 001,50102,3506,1767,684,1051,4
Rukum,Tribeni Gaunpalika,524 6 52 4 003,50206,3609,2569,217,817,6
Rupandehi,Butwal Sub-Metropolitian City,524 5 48 2 001,50802,34097,2665,25370,5666,396
Rupandehi,Devdaha Municipality,524 5 48 3 002,50801,11410,3593,3881,3852,84
Rupandehi,Gaidahawa Gaunpalika,524 5 48 4 003,50805,7285,6391,541,287,66
Rupandehi,Kanchan Gaunpalika,524 5 48 4 001,50804,7084,2374,4145,550,15
Rupandehi,Kotahimai Gaunpalika,524 5 48 4 008,50814,5593,5264,182,101,46
Rupandehi,Lumbini Sanskritik Municipality,524 5 48 3 004,50813,9946,7838,995,1002,111
Rupandehi,Marchawari Gaunpalika,524 5 48 4 010,50816,5263,5002,129,54,78
Rupandehi,Mayadevi Gaunpalika,524 5 48 4 005,50812,6810,5886,604,272,48
Rupandehi,Om Satiya Gaunpalika,524 5 48 4 006,50809,5787,3567,1783,413,24
Rupandehi,Rohini Gaunpalika,524 5 48 4 007,50810,5657,4967,451,199,40
Rupandehi,Sainamaina Municipality,524 5 48 3 001,50803,12392,3061,7130,2179,22
Rupandehi,Sammarimai Gaunpalika,524 5 48 4 009,50815,5120,4736,209,103,72
Rupandehi,Siddharthanagar Municipality,524 5 48 3 005,50811,12497,2169,9160,1050,118
Rupandehi,Siyari Gaunpalika,524 5 48 4 004,50807,6792,3794,2119,850,29
Rupandehi,Suddhodhan Gaunpalika,524 5 48 4 002,50806,6145,3415,1561,1147,22
Rupandehi,Tilottama Municipality,524 5 48 3 003,50808,21957,3230,13828,4802,97
Salyan,Bagachour Municipality,524 6 53 3 002,60905,5906,3803,1469,608,26
Salyan,Banagad Kupinde Municipality,524 6 53 3 001,60903,6763,5704,424,604,31
Salyan,Chhatreshwori Gaunpalika,524 6 53 4 005,60906,4408,2723,1080,590,15
Salyan,Darma Gaunpalika,524 6 53 4 002,60901,3460,3036,132,270,22
Salyan,Dhorchaur Gaunpalika,524 6 53 4 003,60904,2404,1945,225,196,38
Salyan,Kalimati Gaunpalika,524 6 53 4 004,60908,4343,3384,487,413,59
Salyan,Kapurkot Gaunpalika,524 6 53 4 007,60910,3657,2559,689,395,14
Salyan,Kumakh Malika Gaunpalika,524 6 53 4 001,60902,4745,4088,284,342,31
Salyan,Sharada Municipality,524 6 53 3 003,60907,7391,3694,2252,1321,124
Salyan,Tribeni Gaunpalika,524 6 53 4 006,50206,3447,2013,1164,257,13
Sankhuwasabha,Bhotkhola Gaunpalika,524 1 09 4 002,10201,1379,961,24,391,3
Sankhuwasabha,Chainapur Municipality,524 1 09 3 003,10208,5938,860,802,4253,23
Sankhuwasabha,Chichila Gaunpalika,524 1 09 4 004,10204,1518,258,169,1089,2
Sankhuwasabha,Dharmadevi Municipality,524 1 09 3 004,10210,3958,393,672,2891,2
Sankhuwasabha,Khandabari Municipality,524 1 09 3 001,10206,7446,899,1998,4489,60
Sankhuwasabha,Madi Municipality,524 1 09 3 005,10209,3216,385,613,2213,5
Sankhuwasabha,Makalu Gaunpalika,524 1 09 4 001,10202,2922,1601,138,1173,10
Sankhuwasabha,Panchakhapan Municipality,524 1 09 3 002,10207,3634,1062,556,2008,8
Sankhuwasabha,Sabhapokhari Gaunpalika,524 1 09 4 005,10205,2192,709,129,1340,14
Sankhuwasabha,Silichong Gaunpalika,524 1 09 4 003,10203,2412,406,277,1717,12
Saptari,Agmisair Krishna Sabaran Gaunpalika,524 2 15 4 002,20103,5422,4262,616,441,103
Saptari,Balan-Bihul Gaunpalika,524 2 15 4 004,20108,3976,3691,140,95,50
Saptari,Belhi Chapena Gaunpalika,524 2 15 4 006,20111,5242,4740,251,171,80
Saptari,Bishnupur Gaunpalika,524 2 15 4 007,20112,4370,3759,370,206,35
Saptari,Bode Barsain Municipality,524 2 15 3 006,20109,8022,7096,614,202,110
Saptari,Chhinnamasta Gaunpalika,524 2 15 4 008,20118,5439,4745,288,197,209
Saptari,Dakneshwori Municipality,524 2 15 3 007,20110,8149,7350,397,273,129
Saptari,Hanumannagar Kankalini Municipality,524 2 15 3 009,20116,8152,6726,740,581,105
Saptari,Kanchanrup Municipality,524 2 15 3 005,20102,10192,6796,1715,1554,127
Saptari,Khadak Municipality,524 2 15 3 002,20106,8615,7187,991,344,93
Saptari,Mahadewa Gaunpalika,524 2 15 4 005,20114,5395,4735,429,139,92
Saptari,Rajbiraj Municipality,524 2 15 3 008,20113,13350,6142,5551,1446,211
Saptari,Rupani Gaunpalika,524 2 15 4 001,20104,5012,4272,407,305,28
