District ,Name of municipalities,HLCIT_CODE,cbs code,Total,Without any toilet facility,Flush Toilet ,Ordinary Toilet ,Toilet Facility not stated
Baglung,Nisikhola Gaunpalika,524 4 43 4 001,41106,4893,2695,694,1469,35
Baglung,Tamankhola Gaunpalika,524 4 43 4 002,41104,2422,1498,305,604,15
Baglung,Tarakhola Gaunpalika,524 4 43 4 004,41103,2495,215,873,1402,5
Baitadi,Dasharathchand Municipality,524 7 74 3 001,70405,7257,2813,3538,877,29
Baitadi,Dilasaini Gaunpalika,524 7 74 4 001,70401,4110,3200,641,260,9
Baitadi,Dogada Kedar Gaunpalika,524 7 74 4 002,70402,4559,3287,976,279,17
Baitadi,Melauli Municipality,524 7 74 3 003,70408,3947,1887,1523,513,24
Baitadi,Pancheshwor Gaunpalika,524 7 74 4 004,70406,3312,2377,764,160,11
Baitadi,Patam Municipality,524 7 74 3 004,70409,5767,2187,3071,486,23
Baitadi,Puchaundi Municipality,524 7 74 3 002,70403,6390,3528,2110,726,26
Baitadi,Shivanath Gaunpalika,524 7 74 4 005,70407,2771,1800,660,302,9
Baitadi,Sigas Gaunpalika,524 7 74 4 006,70410,3733,2596,910,200,27
Baitadi,Surnaya Gaunpalika,524 7 74 4 003,70404,3321,2133,786,377,25
Bajhang,Bitthadchir Gaunpalika,524 7 67 4 004,70210,2739,2377,170,178,14
Bajhang,Bungal Municipality,524 7 67 3 001,70202,5480,4035,1040,322,83
Bajhang,Chhabis Pathibhara Gaunpalika,524 7 67 4 007,70207,2953,1588,522,822,21
Bajhang,Durgathali Gaunpalika,524 7 67 4 006,70208,2447,1965,257,193,32
Bajhang,Jayaprithbi Municipality,524 7 67 3 002,70206,4015,2623,988,370,34
Bajhang,Kanda Gaunpalika,524 7 67 4 001,70201,363,347,8,5,3
Bajhang,Kedarsyun Gaunpalika,524 7 67 4 005,70209,3586,2390,836,347,13
Bajhang,Khaptad Chhanna Gaunpalika,524 7 67 4 010,70212,3105,2480,343,270,12
Bajhang,Masta Gaunpalika,524 7 67 4 008,70205,2456,1244,682,517,13
Bajhang,Surma Gaunpalika,524 7 67 4 002,70203,1418,1187,113,114,4
Bajhang,Talkot Gaunpalika,524 7 67 4 003,70204,2000,1124,596,254,26
Bajhang,Thalara Gaunpalika,524 7 67 4 009,70211,3211,2244,565,340,62
Bajura,Badimalika Municipality,524 7 68 3 002,70106,3446,1926,773,728,19
Bajura,Budhiganga Municipality,524 7 68 3 003,11213,4277,3170,403,657,47
Bajura,Budhinanda Municipality,524 7 68 3 001,70103,3452,1988,228,1218,18
Bajura,Chhededaha Gaunpalika,524 7 68 4 003,70107,3174,1718,712,703,41
Bajura,Gaumul Gaunpalika,524 7 68 4 002,70102,1560,742,39,774,5
Bajura,Himali Gaunpalika,524 7 68 4 001,70101,1722,1289,126,279,28
Bajura,Pandab Gufa Gaunpalika,524 7 68 4 004,70105,1684,1298,116,266,4
Bajura,Swami Kartik Gaunpalika,524 7 68 4 005,70104,2223,1615,284,301,23
Bajura,Tribeni Municipality,524 7 68 3 004,50206,3350,1566,694,1078,12
Banke,Baijanath Gaunpalika,524 5 57 4 002,51103,11066,5468,2869,2704,25
Banke,Duduwa Gaunpalika,524 5 57 4 004,51107,6590,5464,422,684,20
Banke,Janaki Gaunpalika,524 5 57 4 003,70808,6724,5386,724,550,64
Banke,Khajura Gaunpalika,524 5 57 4 001,51104,10288,4950,2885,2401,52
Banke,Kohalpur Municipality,524 5 57 3 001,51102,15483,4822,6616,3989,56
Banke,Narainapur Gaunpalika,524 5 57 4 006,51108,5908,5594,145,130,39
Banke,Nepalganj Sub-Metropolitian City,524 5 57 2 001,51106,27892,8761,15551,3329,251
Banke,Rapti Sonari Gaunpalika,524 5 57 4 005,51101,10742,8551,1128,1028,35
Bara,Aadarsha Kotwal Gaunpalika,524 2 33 4 009,20711,3960,3571,123,245,21
Bara,Baragadhi Gaunpalika,524 2 33 4 006,20710,4270,3972,176,101,21
Bara,Bishrampur Gaunpalika,524 2 33 4 004,20706,3395,2950,299,110,36
Bara,Devtal Gaunpalika,524 2 33 4 007,20715,3185,2791,191,89,114
Bara,Jitpur Simara Sub-Metropolitian City,524 2 33 2 001,20703,21670,11140,6361,3991,178
Bara,Kalaiya Sub-Metropolitian City,524 2 33 2 002,20708,18689,12669,4163,1578,279
Bara,Karaiyamai Gaunpalika,524 2 33 4 003,20709,4173,3672,195,270,36
Bara,Kolhabi Municipality,524 2 33 3 002,20702,8111,6240,1291,518,62
Bara,Mahagadhimai Municipality,524 2 33 3 003,20714,7773,6324,934,420,95
Bara,Nijagadh Municipality,524 2 33 3 001,20701,7162,3481,2170,1469,42
Bara,Pacharauta Municipality,524 2 33 3 004,20713,4707,4192,282,181,52
Bara,Parawanipur Gaunpalika,524 2 33 4 001,20704,3166,2386,547,197,36
Bara,Pheta Gaunpalika,524 2 33 4 005,20707,3585,3017,300,249,19
Bara,Prasauni Gaunpalika,524 2 33 4 002,20705,3626,2658,533,378,57
Bara,Simroungadh Municipality,524 2 33 3 005,20712,7093,5840,796,403,54
Bara,Subarna Gaunpalika,524 2 33 4 008,20716,4035,3690,196,82,67
Bardiya,Badhaiyatal Gaunpalika,524 5 58 4 002,51208,10333,5347,2027,2943,16
Bardiya,Bansgadhi Municipality,524 5 58 3 006,51201,11210,6762,1686,2727,35
Bardiya,Barbardiya Municipality,524 5 58 3 005,51202,13268,6240,2971,4021,36
Bardiya,Geruwa Gaunpalika,524 5 58 4 001,51204,6135,3754,900,1475,6
Bardiya,Gulariya Municipality,524 5 58 3 004,51207,13064,7127,2761,3159,17
Bardiya,Madhuwan Municipality,524 5 58 3 002,51206,9569,2567,2368,4609,25
Bardiya,Rajapur Municipality,524 5 58 3 001,51205,10916,7064,1440,2396,16
Bardiya,Thakurbaba Municipality,524 5 58 3 003,51203,8652,3822,2306,2499,25
Bhaktapur,Bhaktapur Municipality,524 3 26 3 003,30702,17639,50,16900,590,99
Bhaktapur,Changunarayan Municipality,524 3 26 3 002,30701,12170,1381,7659,3037,93
Bhaktapur,Madhyapur Thimi Municipality,524 3 26 3 001,30703,20302,146,19555,472,129
Bhaktapur,Suryabinayak Municipality,524 3 26 3 004,30704,18446,502,15014,2814,116
Bhojpur,Aamchowk Gaunpalika,524 1 10 4 006,10609,3677,2231,84,1360,2
Bhojpur,Arun Gaunpalika,524 1 10 4 003,10605,3782,1203,359,2218,2
Bhojpur,Bhojpur Municipality,524 1 10 3 002,10604,6438,912,1924,3595,7
Bhojpur,Hatuwagadhi Gaunpalika,524 1 10 4 007,10608,4579,2556,199,1819,5
Bhojpur,Pauwa Dunma Gaunpalika,524 1 10 4 005,10606,3280,1209,673,1394,4
Bhojpur,Ramprasad Rai Gaunpalika,524 1 10 4 004,10607,4016,2436,206,1368,6
Bhojpur,Salpa Silichho Gaunpalika,524 1 10 4 001,10602,2728,973,106,1643,6
Bhojpur,Shadananda Municipality,524 1 10 3 001,10601,6832,1984,1191,3648,9
Bhojpur,Tyamke Maiyum Gaunpalika,524 1 10 4 002,10603,4061,650,377,3026,8
Chitawan,Bharatpur Metropolitian City,524 3 35 1 001,30702,69035,1984,57605,9146,300
Chitawan,Ichchha Kamana Gaunpalika,524 3 35 4 001,31303,4778,510,2451,1803,14
Chitawan,Kalika Municipality,524 3 35 3 001,30304,9116,940,5096,3053,27
Chitawan,Khairahani Municipality,524 3 35 3 003,31306,12331,757,8433,3094,47
Chitawan,Madi Municipality,524 3 35 3 005,10209,8960,1484,5707,1751,18
Chitawan,Rapti Municipality,524 3 35 3 004,31301,12055,1415,6571,4046,23
Chitawan,Ratnanagar Municipality,524 3 35 3 002,31305,16070,732,11832,3394,112
Dadeldhura,Aalital Gaunpalika,524 7 73 4 004,70506,3280,1032,1613,627,8
Dadeldhura,Ajayameru Gaunpalika,524 7 73 4 002,70503,3311,1014,1605,665,27
Dadeldhura,Amargadhi Municipality,524 7 73 3 002,70502,4778,1570,2590,596,22
Dadeldhura,Bhageshwor Gaunpalika,524 7 73 4 001,70504,2462,994,1079,364,25
Dadeldhura,Ganyapdhura Gaunpalika,524 7 73 4 005,70507,3070,817,1614,635,4
