District ,Name of municipalities,HLCIT_CODE,cbs code,Total,Tap/piped water,Tube well/hand pump,"Covered well,kuwa","Uncovered well, kuwa",spout water,river/streams,others,Not stated
Gulmi,Dhurkot Gaunpalika,524 5 51 4 003,50408,"5,307","4,409",3,143,504,207,23,12,6
Gulmi,Gulmi Durbar Gaunpaika,524 5 51 4 005,50410,"5,266","4,923",1,53,122,144,16,1,6
Gulmi,Isma Gaunpalika,524 5 51 4 004,50405,"4,716","3,835",2,53,644,58,119,1,4
Gulmi,Kali Gandaki Gaunpalika,524 5 51 4 010,40911,"4,098","3,666",1,4,86,89,130,116,6
Gulmi,Madane Gaunpalika,524 5 51 4 001,50407,"4,857","4,186",3,98,206,306,39,0,19
Gulmi,Malika Gaunpalika,524 5 51 4 002,40404,"4,550","4,068",0,7,200,187,64,1,23
Gulmi,Musikot Municipality,524 5 51 3 001,50404,"7,075","6,171",1,28,265,466,98,24,22
Gulmi,Resunga Municipality,524 5 51 3 002,50409,"8,353","7,742",2,46,272,224,12,26,29
Gulmi,Ruru Gaunpalika,524 5 51 4 008,50412,"4,703","3,810",2,325,264,237,48,5,12
Gulmi,Satyawoti Gaunpalika,524 5 51 4 009,50402,"5,526","5,360",2,8,57,58,17,9,15
Humla,Adanchuli Gaunpalika,524 6 66 4 007,60306,"1,121",934,0,0,0,181,6,0,0
Humla,Chankheli Gaunpalika,524 6 66 4 005,60301,963,574,0,0,0,388,1,0,0
Humla,Kharpunath Gaunpalika,524 6 66 4 003,60302,"1,132",812,0,0,2,310,7,0,1
Humla,Namkha Gaunpalika,524 6 66 4 001,60304,835,597,0,0,1,151,85,1,0
Humla,Sarkegad Gaunpalika,524 6 66 4 004,60305,"1,794","1,239",0,5,48,479,21,1,1
Humla,Simkot Gaunpalika,524 6 66 4 002,60303,"2,566","1,803",0,1,1,697,55,1,8
Humla,Tanjakot Gaunpalika,524 6 66 4 006,60307,"1,026",642,0,2,12,334,20,16,0
Ilam,Chulachuli Gaunpalika,524 1 03 4 004,11007,"4,649","1,285","2,393",157,558,103,61,73,19
Ilam,Deumai Municipality,524 1 03 3 001,11004,"7,123","5,929",5,21,178,834,45,82,29
Ilam,Fakfokathum Gaunpalika,524 1 03 4 001,11005,"4,634","3,364",6,32,354,837,12,7,22
Ilam,Illam Municipality,524 1 03 3 002,11003,"11,383","9,132",15,43,239,"1,526",185,153,90
Ilam,Mai Jogmai Gaunpalika,524 1 03 4 003,11001,"4,677","3,611",7,11,72,909,27,24,16
Ilam,Mai Municipality,524 1 03 3 004,11008,"7,077","3,227",550,254,"2,201",328,366,119,32
Ilam,Mangsebung Gaunpalika,524 1 03 4 005,11006,"3,729","2,290",9,38,607,716,17,11,41
Ilam,Rong Gaunpalika,524 1 03 4 006,11010,"4,351","3,990",5,4,173,26,74,55,24
Ilam,Sandakpur Gaunpalika,524 1 03 4 002,11002,"3,643","2,883",2,4,33,659,28,25,9
Ilam,Suryodaya Municipality,524 1 03 3 003,11009,"13,211","11,572",18,102,628,679,43,117,52
Jajarkot,Barekot Gaunpalika,524 6 60 4 003,60701,"3,093","1,503",0,0,180,"1,357",36,7,10
Jajarkot,Bheri Malika Municipality,524 6 60 3 002,60706,"6,590","4,139",4,2,679,"1,297",442,9,18
Jajarkot,Chhedagad Municipality,524 6 60 3 001,60704,"6,144","3,507",5,42,274,"2,087",205,3,21
Jajarkot,Junichande Gaunpalika,524 6 60 4 001,60703,"3,774","1,717",5,25,245,"1,498",225,36,23
Jajarkot,Kuse Gaunpalika,524 6 60 4 002,60702,"3,590","1,846",7,34,96,"1,403",182,1,21
Jajarkot,Shivalaya Gaunpalika,524 6 60 4 004,60705,"2,556","1,348",5,6,79,863,130,119,6
Jajarkot,Tribeni Nalagad Municipality,524 6 60 3 003,60707,"4,721","2,997",7,5,150,"1,147",382,22,11
Jhapa,Arjundhara Municipality,524 1 04 3 004,11103,"13,623","3,157","8,751",337,"1,099",76,63,111,29
Jhapa,Barhadashi Gaunpalika,524 1 04 4 005,11111,"7,398",89,"7,142",18,20,8,6,92,23
Jhapa,Bhadrapur Municipality,524 1 04 3 008,11114,"15,270","4,684","10,093",99,184,18,10,108,74
Jhapa,Birtamod Municipality,524 1 04 3 007,11112,"19,118","5,137","13,525",106,183,29,5,56,77
Jhapa,Buddhashanti Gaunpalika,524 1 04 4 002,11102,"9,498","7,465","1,050",340,308,44,32,112,147
Jhapa,Damak Municipality,524 1 04 3 001,11107,"18,104","6,380","11,202",100,108,23,8,170,113
Jhapa,Gauradaha Municipality,524 1 04 3 006,11108,"12,070","1,152","10,748",19,25,7,0,86,33
Jhapa,Gauriganj Gaunpalika,524 1 04 4 003,11109,"7,140",80,"6,926",9,35,7,1,63,19
Jhapa,Haldibari Gaunpalika,524 1 04 4 006,11113,"6,415",95,"6,138",45,77,15,0,31,14
Jhapa,Jhapa Gaunpalika,524 1 04 4 004,11110,"7,098",69,"6,880",14,32,8,4,67,24
Jhapa,Kachanakawal Gaunpalika,524 1 04 4 007,11115,"8,742",95,"8,126",44,387,9,1,64,16
Jhapa,Kamal Gaunpalika,524 1 04 4 001,11106,"10,256",799,"9,313",12,7,1,1,97,26
Jhapa,Kankai Municipality,524 1 04 3 003,11104,"9,426","1,964","7,126",69,95,46,2,106,18
Jhapa,Mechinagar Municipality,524 1 04 3 005,11101,"25,531","8,524","13,155",823,"2,474",67,52,356,80
Jhapa,Shivasatakshi Municipality,524 1 04 3 002,11105,"14,695",362,"14,035",32,23,11,3,168,61
Jumla,Chandannath Municipality,524 6 63 3 001,60404,"3,996","3,447",0,3,5,436,58,9,38
Jumla,Guthichaur Gaunpalika,524 6 63 4 007,60405,"1,848","1,465",0,6,20,257,92,0,8
Jumla,Hima Gaunpalika,524 6 63 4 004,60408,"1,713","1,558",0,0,11,89,13,29,13
Jumla,Kanaka Sundari Gaun Palika,524 6 63 4 001,60402,"2,247","1,891",0,3,24,280,9,27,13
Jumla,Patarasi Gaunpalika,524 6 63 4 003,60401,"2,537","1,308",0,1,3,"1,028",170,7,20
Jumla,Sinja Gaunpalika,524 6 63 4 002,60403,"1,996","1,644",0,14,15,295,18,0,10
Jumla,Tatopani Gaunpalika,524 6 63 4 006,60406,"2,704","2,186",0,0,1,434,72,1,10
Jumla,Tila Gaunpalika,524 6 63 4 005,60407,"2,250","1,942",0,0,1,37,261,1,8
Kailali,Bardagoriya Gaunpalika,524 7 71 4 005,70806,"5,703",41,"5,417",11,18,30,46,117,23
Kailali,Bhajani Municipality,524 7 71 3 004,70811,"8,717",139,"8,354",6,5,3,3,158,49
Kailali,Chure Gaunpalika,524 7 71 4 001,70802,"3,362","1,801",4,9,418,621,426,66,17
Kailali,Dhangadhi Sub-Metropolitian City,524 7 71 2 001,70813,"29,143","5,865","22,881",39,11,62,4,135,146
Kailali,Gauriganga Municipality,524 7 71 3 002,70804,"10,072",291,"9,332",18,53,37,123,169,49
Kailali,Ghodaghodi Municipality,524 7 71 3 003,70805,"13,174",621,"12,019",27,29,118,31,251,78
Kailali,Godawari Municipality,524 7 71 3 001,30803,"14,915","3,370","9,756",148,638,106,712,84,101
Kailali,Janaki Gaunpalika,524 7 71 4 006,51105,"9,051",175,"8,669",20,26,9,0,115,37
Kailali,Joshipur Gaunpalika,524 7 71 4 004,70809,"6,392",52,"6,278",19,1,7,1,3,31
Kailali,Kailari Gaunpalika,524 7 71 4 002,70812,"7,802",491,"7,154",8,5,15,0,78,51
Kailali,Lamki Chuha Municipality,524 7 71 3 006,70807,"14,757","2,670","11,586",10,7,34,37,334,79
Kailali,Mohanyal Gaunpalika,524 7 71 4 003,70801,"3,969","1,827",39,22,385,"1,235",435,2,24
Kailali,Tikapur Municipality,524 7 71 3 005,70810,"15,356","1,087","13,802",13,9,216,1,145,83
Kalikot,Kalika Gaunpalika,524 6 64 4 005,30304,"2,458","1,587",0,7,57,748,49,0,10
Kalikot,Khandachakra Municipality,524 6 64 3 002,60506,"3,612","2,648",0,7,15,821,80,11,30
Kalikot,Mahawai Gaunpalika,524 6 64 4 006,60508,"1,447",333,0,44,14,944,90,14,8
Kalikot,Naraharinath Gaunpalika,524 6 64 4 001,60505,"3,585","1,884",0,20,34,"1,406",221,2,18
Kalikot,Pachal Jharana Gaunpalika,524 6 64 4 003,60502,"2,002","1,523",0,79,24,191,161,1,23
Kalikot,Palata Gaunpalika,524 6 64 4 004,60501,"2,421","1,597",0,2,53,542,216,0,11
Kalikot,Raskot Municipality,524 6 64 3 001,60503,"2,685","1,367",0,4,11,"1,272",0,17,14
Kalikot,Sanni Tribeni Gaunpalika,524 6 64 4 002,60504,"2,105",811,0,13,26,"1,218",34,0,3
Kalikot,Tilagupha Municipality,524 6 64 3 003,60507,"2,693","1,597",0,47,100,876,39,17,17
Kanchanpur,Bedkot Municipality,524 7 72 3 003,70903,"9,219","1,143","7,829",9,29,18,42,117,32
Kanchanpur,Beldandi Gaunpalika,524 7 72 3 006,70908,"3,760",25,"3,685",2,0,1,0,23,24
Kanchanpur,Belouri Municipality,524 7 72 4 001,70909,"8,657",586,"7,737",7,2,239,0,5,81
Kanchanpur,Bhimdatta Municipality,524 7 72 3 002,70904,"20,684","4,531","15,184",59,63,155,77,402,213
Kanchanpur,Krishnapur Municipality,524 7 72 3 005,70901,"10,016",500,"9,142",17,7,9,193,103,45
Kanchanpur,Laljhadi Gaunpalika,524 7 72 4 002,70906,"3,640",24,"3,571",6,0,0,0,13,26
Kanchanpur,Mahakali Municipality,524 7 72 3 001,70303,"7,392",517,"6,644",11,6,1,12,154,47
Kanchanpur,Punarbas Municipality,524 7 72 3 007,70907,"9,909",355,"9,334",8,6,0,1,120,85
Kanchanpur,Shuklaphanta Municipality,524 7 72 3 004,70902,"8,857",170,"8,434",38,5,6,21,152,31
Kapilbastu,Banganga Municipality,524 5 49 3 003,50901,"15,965","3,100","12,161",26,11,142,6,434,85
Kapilbastu,Bijayanagar Gaunpalika,524 5 49 4 001,50904,"5,670",470,"4,655",73,310,10,59,49,44
Kapilbastu,Buddhabhumi Municipality,524 5 49 3 002,50902,"11,521",479,"10,599",66,162,111,12,43,49
Kapilbastu,Kapilbastu Municipality,524 5 49 3 006,50907,"12,094","2,212","9,389",20,65,44,0,261,103
Kapilbastu,Krishnanagar Municipality,524 5 49 3 004,50905,"8,521","1,124","6,756",36,391,20,0,53,141
Kapilbastu,Maharajganj Municipality,524 5 49 3 005,50906,"7,977",98,"7,617",80,128,10,2,17,25
Kapilbastu,Mayadevi Gaunpalika,524 5 49 4 003,50812,"6,507",109,"6,153",12,10,94,0,55,74
Kapilbastu,Shivaraj Municipality,524 5 49 3 001,50903,"11,250",934,"9,754",28,96,124,64,208,42
Kapilbastu,Shuddhodhan Gaunpalika,524 5 49 4 004,50806,"6,346",88,"5,951",15,21,12,2,128,129
Kapilbastu,Yasodhara Gaunpalika,524 5 49 4 002,50908,"5,413",720,"4,500",22,26,4,0,74,67
Kaski,Annapurna Gaunpalika,524 4 39 4 001,40401,"6,029","5,743",4,9,49,186,13,3,22
Kaski,Machhapuchchhre Gaunpalika,524 4 39 4 002,40502,"5,512","5,310",4,13,98,43,17,1,26
Kaski,Madi Gaunpalika,524 4 39 4 003,10209,"4,508","4,245",2,38,85,57,67,2,12
Kaski,Pokhara Lekhnath Metropolitian City,524 4 39 1 001,40504,"105,630","97,864",159,972,"1,427","2,581",357,"1,909",361
Kaski,Rupa Gaunpalika,524 4 39 4 004,40505,"3,780","2,660",2,234,172,660,28,20,4
Kathmandu,Budhanilkhantha Municipality,524 3 27 3 003,30604,"26,485","16,212","1,937","4,904",621,917,18,"1,724",152
Kathmandu,Chandragiri Municipality,524 3 27 3 008,30610,"20,532","13,804",170,"2,651",224,"2,428",28,"1,069",158
Kathmandu,Dakshinkali Municipality,524 3 27 3 010,30611,"5,488","4,662",6,35,326,401,14,7,37
Kathmandu,Gokarneshwor Municipality,524 3 27 3 004,30603,"27,106","15,960","6,076","2,622",367,"1,094",128,576,283
Kathmandu,Kageshwori Manahara Municipality,524 3 27 3 006,30602,"14,329","2,962","5,014","2,872",541,"2,018",395,434,93
Kathmandu,Kathmandu Metropolitian City,524 3 27 1 001,30601,"254,292","163,339","18,574","10,890","1,341","4,830",52,"53,275","1,991"
Kathmandu,Kirtipur Municipality,524 3 27 3 009,30609,"19,441","14,734",47,382,52,754,3,"3,350",119
Kathmandu,Nagarjun Municipality,524 3 27 3 005,30607,"16,746","6,307",113,"1,043",148,"2,883",22,"6,123",107
Kathmandu,Shankharapur Municipality,524 3 27 3 007,30601,"5,406","1,537",153,217,"1,010","1,608",774,76,31
Kathmandu,Tarakeshwor Municipality,524 3 27 3 001,30507,"20,158","15,870",646,"1,154",453,"1,164",21,729,121
Kathmandu,Tokha Municipality,524 3 27 3 002,30605,"25,561","14,522","2,241","2,315",482,"1,166",16,"4,688",131
Kavrepalanchok,Banepa Municipality,524 3 24 3 002,30904,"12,106","9,488",141,760,216,"1,113",29,218,141
Kavrepalanchok,Bethanchowk Gaunpalika,524 3 24 4 003,30910,"3,601","3,382",1,21,72,64,49,2,10
Kavrepalanchok,Bhumlu Gaunpalika,524 3 24 4 001,30902,"4,513","4,156",2,29,158,106,26,1,35
Kavrepalanchok,Chauri Deurali Gaunpalika,524 3 24 4 002,30901,"4,664","3,754",2,56,412,394,25,0,21
Kavrepalanchok,Dhulikhel Municipality,524 3 24 3 003,30905,"7,061","5,721",4,264,363,402,19,47,241
Kavrepalanchok,Khanikhola Gaunpalika,524 3 24 4 006,30913,"2,372","2,194",1,7,88,10,57,7,8
Kavrepalanchok,Mahabharat Gaunpalika,524 3 24 4 007,30912,"2,910","2,459",3,28,156,152,92,1,19
Kavrepalanchok,Mandan Deupur Municipality,524 3 24 3 001,30903,"7,328","5,211",4,309,720,"1,023",9,24,28
Kavrepalanchok,Namobuddha Municipality,524 3 24 3 006,30908,"6,584","3,940",13,812,"1,332",414,23,13,37
Kavrepalanchok,Panauti Municipality,524 3 24 3 005,30909,"10,196","8,925",13,719,261,175,26,7,70
Kavrepalanchok,Panchkhal Municipality,524 3 24 3 004,30906,"8,544","5,559",19,"1,490",924,392,30,90,40
Kavrepalanchok,Roshi Gaunpalika,524 3 24 4 004,30911,"5,896","5,479",3,50,172,51,110,6,25
Kavrepalanchok,Temal Gaunpalika,524 3 24 4 005,30907,"4,876","3,564",11,438,331,464,45,1,22
Khotang,Aiselukharka Gaunpalika,524 1 12 4 001,10502,"3,491","3,168",2,8,124,130,43,8,8
Khotang,Baraha Pokhari Gaunpalika,524 1 12 4 007,10510,"2,702","2,310",1,28,236,46,55,0,26
Khotang,Diprung Gaunpalika,524 1 12 4 004,10507,"4,140","3,119",3,23,369,562,32,11,21
Khotang,Halesi Tuwachung Municipality,524 1 12 3 001,10504,"5,838","3,971",10,339,"1,039",233,222,1,23
Khotang,Jante Dhunga Gaunpalika,524 1 12 4 008,10509,"3,175","2,413",2,27,327,311,74,4,17
Khotang,Kepilasgadhi Gaunpalika,524 1 12 4 002,10501,"3,347","2,667",1,34,254,289,87,0,15
Khotang,Khotehang Gaunpalika,524 1 12 4 006,10508,"4,703","3,237",4,38,569,815,25,3,12
Khotang,Lamidanda Gaunpalika,524 1 12 4 003,10503,"2,793","2,352",0,9,139,238,44,3,8
Khotang,Rupakot Majhuwagadhi Municipality,524 1 12 3 002,10505,"10,050","8,154",5,254,433,"1,031",80,32,61
Khotang,Sakela Gaunpalika,524 1 12 4 005,10506,"2,408","1,919",0,31,77,365,4,0,12
Lalitpur,Bagmati Gaunpalika,524 3 25 4 001,20503,"2,614","2,504",5,1,55,6,7,24,12
Lalitpur,Godawari Municipality,524 3 25 3 001,30803,"17,762","16,065",11,445,204,741,50,65,181
Lalitpur,Konjyosom Gaunpalika,524 3 25 4 002,30804,"2,001","1,939",0,3,19,15,11,1,13
Lalitpur,Lalitpur Metropolitian City,524 3 25 1 001,30801,"70,256","46,319",830,"6,727","1,159","3,669",155,"10,882",515
Lalitpur,Mahalaxmi Municipality,524 3 25 3 002,10701,"14,930","6,391",201,"3,515",554,246,15,"3,708",300
Lalitpur,Mahankal Gaunpalika,524 3 25 4 003,30805,"1,942","1,855",3,0,13,41,5,11,14
Lamjung,Bensi Shahar Municipality,524 4 37 3 002,40605,"10,422","9,670",10,49,102,496,8,51,36
Lamjung,Dordi Gaunpalika,524 4 37 4 003,40601,"4,337","3,713",5,20,158,428,7,0,6
Lamjung,Dudhapokhari Gaunpalika,524 4 37 4 004,40608,"2,590","2,333",2,15,54,179,5,0,2
Lamjung,Kwhola Sothar Gaunpalika,524 4 37 4 001,40603,"2,452","2,378",2,12,11,25,12,0,12
Lamjung,Madhya Nepal Municipality,524 4 37 3 001,40604,"5,888","4,578",8,132,356,770,26,0,18
Lamjung,Marshyangdi Gaunpalika,524 4 37 4 002,40602,"4,409","4,183",0,2,22,176,17,0,9
Lamjung,Rainas Municipality,524 4 37 3 004,40607,"4,751","3,963",8,40,252,415,49,2,22
Lamjung,Sundarbazar Municipality,524 4 37 3 003,40606,"7,199","6,214",68,103,94,642,32,8,38
Mahottari,Aurahi Municipality,524 2 18 3 003,20216,"5,822",625,"5,141",8,20,4,0,1,23
Mahottari,Balawa Municipality,524 2 18 3 007,20407,"7,661",368,"6,962",8,16,195,18,71,23
Mahottari,Bardibas Municipality,524 2 18 3 001,20401,"13,113","7,739",896,61,"3,626",346,318,81,46
Mahottari,Bhangaha Municipality,524 2 18 3 004,20405,"8,560",536,"7,592",4,219,155,1,8,45
Mahottari,Ekadara Gaunpalika,524 2 18 4 003,20411,"4,809",301,"4,366",6,8,2,0,114,12
Mahottari,Gaushala Municipality,524 2 18 3 002,20402,"11,893","2,352","6,972",36,"2,411",16,26,22,58
Mahottari,Jaleshwor Municipality,524 2 18 3 009,20415,"10,034",753,"8,970",15,5,7,0,163,121
Mahottari,Loharpatti Municipality,524 2 18 3 008,20406,"7,317","1,202","5,547",7,12,427,2,95,25
Mahottari,Mahottari Gaunpalika,524 2 18 4 004,20412,"4,861",123,"4,522",8,5,0,0,199,4
Mahottari,Manara Shisawa Municipality,524 2 18 3 006,20410,"8,532",388,"7,601",33,27,4,7,400,72
Mahottari,Matihani Municipality,524 2 18 3 010,20414,"5,226",66,"5,003",10,28,1,0,93,25
Mahottari,Pipara Gaunpalika,524 2 18 4 005,20413,"6,490",216,"6,079",7,6,0,0,153,29
Mahottari,Ram Gopalpur Municipality,524 2 18 3 005,20408,"5,257",37,"5,024",6,10,129,1,18,32
Mahottari,Samsi Gaunpalika,524 2 18 4 002,20409,"5,382",146,"4,928",6,13,2,0,259,28
Mahottari,Sonama Gaunpalika,524 2 18 4 001,20403,"6,341",820,"5,366",6,9,4,1,76,59
Makwanpur,Bagmati Gaunpalika,524 3 31 4 008,20503,"5,731","2,825",72,85,"2,286",299,147,7,10
Makwanpur,Bakaiya Gaunpalika,524 3 31 4 007,31209,"7,538","3,469",528,180,"2,794",480,60,20,7
Makwanpur,Bhimphedi Gaunpalika,524 3 31 4 004,31207,"4,810","4,261",4,17,114,303,87,12,12
Makwanpur,Hetauda Sub-Metropolitian City,524 3 31 2 001,31206,"34,270","25,629","1,963","1,553","3,035","1,587",132,256,115
Makwanpur,Indrasarowar Gaunpalika,524 3 31 4 005,31201,"3,054","2,405",2,53,307,178,41,61,7
Makwanpur,Kailash Gaunpalika,524 3 31 4 003,31203,"4,263","3,829",3,12,340,21,40,3,15
Makwanpur,Makawanpurgadhi Gaunpalika,524 3 31 4 006,31208,"5,003","4,175",14,11,532,112,94,44,21
Makwanpur,Manahari Gaunpalika,524 3 31 4 001,31205,"7,891","4,855","1,693",152,865,230,73,14,9
Makwanpur,Raksirang Gaunpalika,524 3 31 4 002,31204,"4,557","3,518",15,16,850,76,76,2,4
Makwanpur,Thaha Municipality,524 3 31 3 001,31202,"8,928","8,240",6,27,320,253,41,25,16
Manang,Chame Gaunpalika,524 4 38 4 003,40203,279,277,0,0,0,1,1,0,0
Manang,Naraphu Gaunpalika,524 4 38 4 002,40201,122,120,0,0,0,1,1,0,0
Manang,Nashong Gaunpalika,524 4 38 4 004,40204,454,448,0,0,0,2,0,0,4
Manang,Neshang Gaunpalika,524 4 38 4 001,40202,593,568,0,0,0,22,2,0,1
Morang,Belbari Municipality,524 1 05 3 003,11205,"15,338",225,"14,751",41,26,31,6,190,68
Morang,Biratnagar Metropolitian City,524 1 05 1 001,11214,"47,798","16,664","30,296",107,35,202,8,149,337
Morang,Budhiganga Gaunpalika,524 1 05 4 004,11213,"9,621","1,369","7,930",18,30,21,14,206,33
Morang,Dhanapalthan Gaunpalika,524 1 05 4 008,11216,"7,957",34,"7,794",6,48,2,1,48,24
Morang,Gramthan Gaunpalika,524 1 05 4 005,11212,"7,920",286,"7,544",15,40,6,0,1,28
Morang,Jahada Gaunpalika,524 1 05 4 007,11217,"8,175",59,"8,010",12,64,9,1,8,12
Morang,Kanepokhari Gaunpalika,524 1 05 4 003,11206,"8,683",63,"8,449",32,81,12,13,6,27
Morang,Katahari Gaunpalika,524 1 05 4 006,11215,"8,009",22,"7,924",12,17,2,0,16,16
Morang,Kerabari Gaunpalika,524 1 05 4 001,11203,"6,991","6,186",171,88,207,263,46,12,18
Morang,Letang Municipality,524 1 05 3 001,11202,"7,339","6,855",12,19,239,140,18,38,18
Morang,Miklajung Gaunpalika,524 1 05 4 002,10908,"6,417","2,988","2,295",68,342,314,394,4,12
Morang,Pathari Shanishchare Municipality,524 1 05 3 004,11207,"13,956","1,309","11,807",176,288,22,3,291,60
Morang,Rangeli Municipality,524 1 05 3 006,11211,"11,249",488,"10,538",19,35,6,2,138,23
Morang,Ratuwamai Municipality,524 1 05 3 008,11209,"12,482",61,"12,188",11,33,10,4,156,19
Morang,Sundarharaicha Municipality,524 1 05 3 002,11204,"18,610","1,786","16,334",59,38,33,10,245,105
Morang,Sunwarshi Municipality,524 1 05 3 007,11210,"10,795",36,"10,508",14,40,7,0,157,33
Morang,Urlabari Municipality,524 1 05 3 005,11208,"12,530","2,037","10,272",50,39,11,16,97,8
Mugu,Chhayanath Rara Municipality,524 6 65 3 001,60202,"3,641","2,764",0,1,49,713,84,0,30
Mugu,Khatyad Gaunpalika,524 6 65 4 001,60204,"2,821","2,292",0,13,60,332,81,0,43
Mugu,Mugumakarmarog Gaunpalika,524 6 65 4 003,60201,"1,029",681,0,0,2,215,126,1,4
Mugu,Soru Gaunpalika,524 6 65 4 002,60203,"2,109","1,494",0,1,2,392,191,0,29
Mustang,Bahragaun Muktikshetra Gaunpalika,524 4 45 4 003,40303,725,712,0,0,0,3,7,2,1
Mustang,Dalome Gaunpalika,524 4 45 4 002,40301,404,345,0,0,0,26,30,0,3
Mustang,Gharpajhong Gaunpalika,524 4 45 4 004,40302,874,863,1,0,0,4,2,0,4
Mustang,Lomanthang Gaunpalika,524 4 45 4 001,40304,532,398,0,1,4,1,126,0,2
Mustang,Thasang Gaunpalika,524 4 45 4 005,40305,770,711,0,0,3,42,9,0,5
Myagdi,Annapurna Gaunpalika,524 4 44 4 003,40401,"3,700","3,498",0,6,25,102,41,6,22
Myagdi,Beni Municipality,524 4 44 3 001,40406,"8,652","7,957",3,29,57,556,11,29,10
Myagdi,Dhawalagiri Gaunpalika,524 4 44 4 001,40403,"3,229","2,353",2,9,93,531,229,1,11
Myagdi,Malika Gaunpalika,524 4 44 4 004,40404,"4,223","3,404",1,17,223,519,25,19,15
Myagdi,Mangala Gaunpalika,524 4 44 4 005,40405,"3,825","3,517",0,58,38,161,29,20,2
Myagdi,Raghuganga Gaunpalika,524 4 44 4 002,40402,"4,098","3,509",0,17,91,395,75,1,10
Nawalparasi,Bardaghat Municipality,524 5 76 3 002,50701,"13,415","4,367","8,454",115,131,160,14,112,62
Nawalparasi,Binayi Tribeni Gaunpalika,524 4 47 4 004,40808,"6,916","2,311","3,274",342,592,263,69,28,37
Nawalparasi,Bulingtar Gaunpalika,524 4 47 4 002,40802,"3,487","2,943",0,69,226,217,21,2,9
Nawalparasi,Bungdikali Gaunpalika,524 4 47 4 001,40803,"2,998","2,560",0,23,172,192,46,0,5
Nawalparasi,Devchuli Municipality,524 4 47 3 003,40805,"9,256","6,796",411,845,704,408,16,22,54
Nawalparasi,Gaidakot Municipality,524 4 47 3 004,40801,"13,623","8,674","1,953","2,072",680,43,22,116,63
Nawalparasi,Hupsekot Gaunpalika,524 4 47 4 003,40804,"4,588","4,137",0,22,325,41,18,10,35
Nawalparasi,Kawasoti Municipality,524 4 47 3 002,40806,"14,104","7,462","3,689","1,106","1,357",316,3,96,75
Nawalparasi,Madhya Bindu Municipality,524 4 47 3 001,40807,"11,943","4,452","3,124","1,742","2,159",152,56,209,49
Nawalparasi,Palhinandan Gaunpalika,524 5 76 4 001,50704,"5,881",506,"5,339",6,2,2,1,1,24
Nawalparasi,Pratapapur Gaunpalika,524 5 76 4 003,50706,"7,386",844,"6,300",36,9,6,0,127,64
Nawalparasi,Ramgram Municipality,524 5 76 3 003,50703,"10,282","1,772","8,299",55,44,5,4,36,67
Nawalparasi,Sarawal Gaunpalika,524 5 76 4 002,50705,"6,633",566,"5,886",13,12,3,0,93,60
Nawalparasi,Sunawal Municipality,524 5 76 3 001,50702,"12,018","3,720","7,898",21,17,164,4,110,84
Nawalparasi,Susta Gaunpalika,524 5 76 4 004,50707,"6,230",719,"5,422",5,6,0,0,39,39
Nuwakot,Belkotgadhi Municipality,524 3 28 3 002,30508,"8,099","6,306",6,228,713,721,42,14,69
Nuwakot,Bidur Municipality,524 3 28 3 001,30504,"12,505","11,494",20,73,187,493,47,101,90
Nuwakot,Dupcheshwor Gaunpalika,524 3 28 4 008,30501,"4,451","4,243",1,8,19,102,35,1,42
Nuwakot,Kakani Gaunpalika,524 3 28 4 009,30512,"5,183","4,384",2,37,306,358,21,3,72
Nuwakot,Kispang Gaunpalika,524 3 28 4 002,30505,"3,340","2,975",1,7,65,243,13,1,35
Nuwakot,Likhu Gaunpalika,524 3 28 4 006,10405,"3,629","2,851",0,75,264,380,37,1,21
Nuwakot,Meghang Gaunpalika,524 3 28 4 001,30506,"3,388","3,139",1,8,34,162,13,6,25
Nuwakot,Panchakanya Gaunpalika,524 3 28 4 007,30510,"3,321","2,839",1,34,170,173,44,36,24
Nuwakot,Shivapuri Gaunpalika,524 3 28 4 010,30511,"4,676","4,022",2,49,216,260,75,17,35
Nuwakot,Suryagadhi Gaunpalika,524 3 28 4 004,30503,"3,509","2,985",1,40,91,360,3,0,29
Nuwakot,Tadi Gaunpalika,524 3 28 4 005,30502,"3,582","3,342",7,6,102,86,17,3,19
Nuwakot,Tarakeshwor Gaunpalika,524 3 28 4 003,30507,"3,511","3,277",0,23,93,77,7,1,33
Okhaldhunga,Champadevi Gaunpalika,524 1 13 4 004,10406,"3,796","2,674",2,135,724,137,99,0,25
Okhaldhunga,Chishankhu Gadhi Gaunpalika,524 1 13 4 006,10401,"3,334","2,709",2,48,198,340,8,0,29
Okhaldhunga,Khiji Demba Gaunpalika,524 1 13 4 001,10404,"3,111","2,740",3,52,114,109,81,2,10
Okhaldhunga,Likhu Gaunpalika,524 1 13 4 002,10405,"2,957","2,269",7,168,314,90,100,0,9
Okhaldhunga,Manebhanjyang Gaunpalika,524 1 13 4 007,10408,"4,618","4,267",2,39,74,128,78,11,19
Okhaldhunga,Molung Gaunpalika,524 1 13 4 003,10403,"3,669","2,980",8,13,372,228,49,8,11
Okhaldhunga,Siddhicharan Municipality,524 1 13 3 001,10402,"6,994","5,850",5,62,423,397,142,20,95
Okhaldhunga,Sunkoshi Gaunpalika,524 1 13 4 005,10407,"3,987","3,329",5,87,336,114,84,8,24
Palpa,Baganaskali Gaunpalika,524 5 46 4 005,50604,"5,270","4,325",24,74,585,207,47,1,7
