District ,Name of municipalities,HLCIT_CODE,cbs code,Total,Tap/piped water,Tube well/hand pump,"Covered well,kuwa","Uncovered well, kuwa",spout water,river/streams,others,Not stated
Dang,Gadhawa Gaunpalika,524 5 56 4 006,51009,"7,267","1,871","3,446",184,"1,477",53,169,28,39
Dang,Ghorahi Sub-Metropolitian City,524 5 56 2 002,51002,"35,419","16,014",814,"6,231","8,190","1,332","1,750",958,130
Dang,Lamahi Municipality,524 5 56 3 001,51007,"9,432","1,419","4,072","1,335","2,122",217,36,182,49
Dang,Rajpur Gaunpalika,524 5 56 4 004,20613,"4,473",158,"1,891",45,"1,112",127,"1,038",83,19
Dang,Rapti Gaunpalika,524 5 56 4 007,31301,"8,055","2,277","4,097",448,932,121,62,41,77
Dang,Shantinagar Gaunpalika,524 5 56 4 003,51004,"5,328","3,290",118,274,978,355,148,153,12
Dang,Tulsipur Sub-Metropolitian City,524 5 56 2 001,51003,"31,243","14,890","1,985","5,572","5,734","1,622",799,473,168
Darchula,Apihimal Gaunpalika,524 7 75 4 003,70305,"1,085",987,0,0,1,84,9,2,2
Darchula,Byas Gaunpalika,524 7 75 4 001,40702,"1,919","1,487",0,94,32,290,5,0,11
Darchula,Duhun Gaunpalika,524 7 75 4 002,70302,"1,982","1,681",0,0,6,263,16,10,6
Darchula,Lekam Gaunpalika,524 7 75 4 006,70309,"2,851","1,911",0,12,77,512,79,255,5
Darchula,Mahakali Municipality,524 7 75 3 001,70303,"4,526","4,155",0,11,2,161,122,64,11
Darchula,Malikarjun Gaunpalika,524 7 75 4 004,70308,"3,096","2,585",0,35,136,105,80,150,5
Darchula,Marma Gaunpalika,524 7 75 4 007,70306,"2,508","2,006",0,0,17,263,164,54,4
Darchula,Naugad  Gaunpalika,524 7 75 4 005,70304,"2,616","2,389",0,1,1,92,103,17,13
Darchula,Shailyashikhar Municipality,524 7 75 3 002,70307,"4,021","3,124",0,5,150,305,168,241,28
Dhading,Benighat Rorang Gaunpalika,524 3 30 4 008,30409,"6,169","5,170",0,17,779,105,69,10,19
Dhading,Dhunibenshi Municipality,524 3 30 3 002,30413,"6,759","5,858",1,66,288,353,143,36,14
Dhading,Gajuri Gaunpalika,524 3 30 4 009,30410,"5,600","4,924",1,103,349,130,57,6,30
Dhading,Galchhi Gaunpalika,524 3 30 4 010,30411,"5,410","4,460",49,66,360,339,24,87,25
Dhading,Ganga Jamuna Gaunpalika,524 3 30 4 002,30403,"4,864","4,618",0,5,10,221,1,1,8
Dhading,Jwalamukhi Gaunpalika,524 3 30 4 006,30407,"5,730","3,391",0,317,205,"1,637",99,67,14
Dhading,Khaniyabas Gaunpalika,524 3 30 4 003,30402,"2,651","2,504",0,1,3,110,8,0,25
Dhading,Netrawati Gaunpalika,524 3 30 4 005,30405,"3,121","3,034",0,1,27,48,0,2,9
Dhading,Nilkhantha Municipality,524 3 30 3 001,30406,"13,984","12,314",4,175,350,"1,053",52,1,35
