Districts,Palika,HLCIT_CODE,CBS_Code,Age_greater5_M,R_nd_W_M,R_only_M,No_R_nd_W_M,Not_stated_M,Litracy_rate_M,Age_greater5_F,R_nd_W_F,R_only_F,No_R_nd_W_F,Not_stated_F,Litracy_rate_F
Mustang,Gharpajhong Gaunpalika,524 4 45 4 004,40302,1476,1228,28,220,0,83.2,1346,905,35,405,1,67.24
Mustang,Lomanthang Gaunpalika,524 4 45 4 001,40304,812,410,18,384,0,50.49,959,301,20,638,0,31.39
Mustang,Thasang Gaunpalika,524 4 45 4 005,40305,1394,1114,31,248,1,79.91,1275,830,34,410,1,65.1
Myagdi,Annapurna Gaunpalika,524 4 44 4 003,40401,5565,4511,73,979,2,81.06,6699,4301,97,2297,4,64.2
Myagdi,Beni Municipality,524 4 44 3 001,40406,13246,11488,232,1521,5,86.73,16924,11814,451,4644,15,69.81
Myagdi,Dhawalagiri Gaunpalika,524 4 44 4 001,40403,5414,3920,211,1278,5,72.4,6872,3900,263,2702,7,56.75
Myagdi,Malika Gaunpalika,524 4 44 4 004,40404,7420,5879,113,1423,5,79.23,9414,5941,174,3292,7,63.11
Myagdi,Mangala Gaunpalika,524 4 44 4 005,40405,6263,4937,170,1156,0,78.83,8309,5323,245,2738,3,64.06
Myagdi,Raghuganga Gaunpalika,524 4 44 4 002,40402,6119,4751,136,1231,1,77.64,8009,4919,182,2906,2,61.42
Nawalparasi,Bardaghat Municipality,524 5 76 3 002,50701,25619,21271,427,3916,5,83.03,31024,21287,535,9196,6,68.61
Nawalparasi,Binayi Tribeni Gaunpalika,524 4 47 4 004,40808,13187,10726,251,2206,4,81.34,16668,11272,285,5101,10,67.63
Nawalparasi,Bulingtar Gaunpalika,524 4 47 4 002,40802,7679,5631,294,1748,6,73.33,9453,5174,368,3908,3,54.73
Nawalparasi,Bungdikali Gaunpalika,524 4 47 4 001,40803,6197,4900,170,1123,4,79.07,7949,5038,225,2680,6,63.38
Nawalparasi,Devchuli Municipality,524 4 47 3 003,40805,17813,14984,373,2444,12,84.12,21421,15312,426,5671,12,71.48
Nawalparasi,Gaidakot Municipality,524 4 47 3 004,40801,25924,22613,497,2790,24,87.23,28622,21215,582,6778,47,74.12
Nawalparasi,Hupsekot Gaunpalika,524 4 47 4 003,40804,9912,7848,194,1868,2,79.18,12538,7903,267,4366,2,63.03
Nawalparasi,Kawasoti Municipality,524 4 47 3 002,40806,26022,21718,581,3713,10,83.46,31560,22212,709,8624,15,70.38
Nawalparasi,Madhya Bindu Municipality,524 4 47 3 001,40807,21726,17515,347,3854,10,80.62,27834,18379,462,8982,11,66.03
Nawalparasi,Palhinandan Gaunpalika,524 5 76 4 001,50704,15499,11156,384,3952,7,71.98,16394,7616,551,8205,22,46.46
Nawalparasi,Pratapapur Gaunpalika,524 5 76 4 003,50706,20517,14683,507,5314,13,71.57,20352,9600,503,10231,18,47.17
Nawalparasi,Ramgram Municipality,524 5 76 3 003,50703,25301,20125,412,4744,20,79.54,26563,14474,460,11599,30,54.49
Nawalparasi,Sarawal Gaunpalika,524 5 76 4 002,50705,16610,11946,338,4324,2,71.92,17463,8522,356,8577,8,48.8
Nawalparasi,Sunawal Municipality,524 5 76 3 001,50702,23266,19839,333,3090,4,85.27,28009,19785,432,7781,11,70.64
Nawalparasi,Susta Gaunpalika,524 5 76 4 004,50707,15621,10685,411,4522,3,68.4,16620,8137,347,8132,4,48.96
Nuwakot,Belkotgadhi Municipality,524 3 28 3 002,30508,17910,12684,772,4418,36,70.82,19528,10687,717,8077,47,54.73
Nuwakot,Bidur Municipality,524 3 28 3 001,30504,23121,18291,580,4241,9,79.11,27192,16817,731,9615,29,61.85
Nuwakot,Dupcheshwor Gaunpalika,524 3 28 4 008,30501,10003,5169,429,4399,6,51.67,9868,3700,379,5770,19,37.49
Nuwakot,Kakani Gaunpalika,524 3 28 4 009,30512,11977,8217,533,3198,29,68.61,12392,6420,471,5471,30,51.81
Nuwakot,Kispang Gaunpalika,524 3 28 4 002,30505,6349,4069,244,2033,3,64.09,7315,3657,292,3358,8,49.99
Nuwakot,Likhu Gaunpalika,524 3 28 4 006,10405,7200,5306,316,1577,1,73.69,8416,4602,319,3493,2,54.68
Nuwakot,Meghang Gaunpalika,524 3 28 4 001,30506,5506,3397,152,1951,6,61.7,6813,3256,222,3320,15,47.79
Nuwakot,Panchakanya Gaunpalika,524 3 28 4 007,30510,7110,4900,264,1940,6,68.92,7679,4113,256,3301,9,53.56
Nuwakot,Shivapuri Gaunpalika,524 3 28 4 010,30511,8971,5900,385,2661,25,65.77,10276,5333,375,4548,20,51.9
Nuwakot,Suryagadhi Gaunpalika,524 3 28 4 004,30503,7499,4691,413,2390,5,62.56,7913,3713,356,3838,6,46.92
Nuwakot,Tadi Gaunpalika,524 3 28 4 005,30502,8264,4680,267,3310,7,56.63,8304,3524,227,4543,10,42.44
Nuwakot,Tarakeshwor Gaunpalika,524 3 28 4 003,30507,6372,4015,228,2094,35,63.01,8026,4100,206,3662,58,51.08
Okhaldhunga,Champadevi Gaunpalika,524 1 13 4 004,10406,7479,4983,176,2319,1,66.63,9168,4417,183,4567,1,48.18
Okhaldhunga,Chishankhu Gadhi Gaunpalika,524 1 13 4 006,10401,6204,4791,174,1238,1,77.22,7547,4527,213,2806,1,59.98
Okhaldhunga,Khiji Demba Gaunpalika,524 1 13 4 001,10404,6526,4713,186,1626,1,72.22,7141,3944,187,3009,1,55.23
Okhaldhunga,Likhu Gaunpalika,524 1 13 4 002,10405,5878,4543,164,1170,1,77.29,6857,3816,196,2843,2,55.65
Okhaldhunga,Manebhanjyang Gaunpalika,524 1 13 4 007,10408,8647,6387,333,1927,0,73.86,10467,5907,354,4202,4,56.43
Okhaldhunga,Molung Gaunpalika,524 1 13 4 003,10403,6736,4937,267,1531,1,73.29,7932,4448,309,3173,2,56.08
Okhaldhunga,Siddhicharan Municipality,524 1 13 3 001,10402,11373,9002,225,2144,2,79.15,14122,8564,286,5269,3,60.64
Okhaldhunga,Sunkoshi Gaunpalika,524 1 13 4 005,10407,7633,5330,238,2062,3,69.83,9130,4891,271,3964,4,53.57
