Districts,Palika,HLCIT_CODE,CBS_Code,Age_greater5_M,R_nd_W_M,R_only_M,No_R_nd_W_M,Not_stated_M,Litracy_rate_M,Age_greater5_F,R_nd_W_F,R_only_F,No_R_nd_W_F,Not_stated_F,Litracy_rate_F
Humla,Adanchuli Gaunpalika,524 6 66 4 007,60306,2941,1681,85,1175,0,57.16,2941,743,87,2111,0,25.26
Humla,Chankheli Gaunpalika,524 6 66 4 005,60301,2325,1523,39,762,1,65.51,2265,850,41,1374,0,37.53
Humla,Kharpunath Gaunpalika,524 6 66 4 003,60302,2529,1554,83,887,5,61.45,2582,805,97,1674,6,31.18
Humla,Namkha Gaunpalika,524 6 66 4 001,60304,1697,783,93,819,2,46.14,1817,420,52,1344,1,23.12
Humla,Sarkegad Gaunpalika,524 6 66 4 004,60305,4172,2414,85,1671,2,57.86,4107,1262,69,2772,4,30.73
Humla,Simkot Gaunpalika,524 6 66 4 002,60303,5239,3475,176,1585,3,66.33,4908,1944,167,2789,8,39.61
Humla,Tanjakot Gaunpalika,524 6 66 4 006,60307,2513,1587,58,868,0,63.15,2506,855,53,1598,0,34.12
Ilam,Chulachuli Gaunpalika,524 1 03 4 004,11007,8759,7027,185,1546,1,80.23,10347,7133,226,2986,2,68.94
Ilam,Deumai Municipality,524 1 03 3 001,11004,14637,12566,332,1736,3,85.85,15934,11551,363,4009,11,72.49
Ilam,Fakfokathum Gaunpalika,524 1 03 4 001,11005,9236,7695,253,1283,5,83.32,10644,7291,290,3055,8,68.5
Ilam,Illam Municipality,524 1 03 3 002,11003,21720,18791,556,2354,19,86.51,23446,17517,622,5292,15,74.71
Ilam,Mai Jogmai Gaunpalika,524 1 03 4 003,11001,9648,8145,118,1383,2,84.42,10015,7223,127,2659,6,72.12
Ilam,Mai Municipality,524 1 03 3 004,11008,14190,10859,628,2695,8,76.53,15691,10378,531,4779,3,66.14
Ilam,Mangsebung Gaunpalika,524 1 03 4 005,11006,8307,6874,157,1270,6,82.75,8668,5969,173,2518,8,68.86
Ilam,Rong Gaunpalika,524 1 03 4 006,11010,8755,7336,196,1217,6,83.79,9138,6714,241,2177,6,73.47
Ilam,Sandakpur Gaunpalika,524 1 03 4 002,11002,7247,5901,183,1158,5,81.43,7761,5285,202,2267,7,68.1
Ilam,Suryodaya Municipality,524 1 03 3 003,11009,26151,22766,472,2898,15,87.06,27183,20895,502,5765,21,76.87
Jajarkot,Barekot Gaunpalika,524 6 60 4 003,60701,7791,4350,264,3176,1,55.83,7673,3163,218,4290,2,41.22
Jajarkot,Bheri Malika Municipality,524 6 60 3 002,60706,14288,9736,417,4127,8,68.14,14990,7982,514,6487,7,53.25
Jajarkot,Chhedagad Municipality,524 6 60 3 001,60704,14663,9660,645,4354,4,65.88,15176,7621,806,6739,10,50.22
Jajarkot,Junichande Gaunpalika,524 6 60 4 001,60703,8949,5432,500,3011,6,60.7,9139,4158,520,4450,11,45.5
Jajarkot,Kuse Gaunpalika,524 6 60 4 002,60702,8749,5813,391,2537,8,66.44,8645,4329,378,3931,7,50.08
Jajarkot,Shivalaya Gaunpalika,524 6 60 4 004,60705,6390,4492,163,1734,1,70.3,6595,3189,173,3229,4,48.35
Jajarkot,Tribeni Nalagad Municipality,524 6 60 3 003,60707,10821,7333,399,3086,3,67.77,10970,5188,455,5324,3,47.29
Jhapa,Arjundhara Municipality,524 1 04 3 004,11103,25864,21683,395,3778,8,83.83,29536,20955,376,8197,8,70.95
Jhapa,Barhadashi Gaunpalika,524 1 04 4 005,11111,14076,10730,338,3005,3,76.23,16412,9972,356,6078,6,60.76
Jhapa,Bhadrapur Municipality,524 1 04 3 008,11114,28216,23805,460,3948,3,84.37,31912,22420,544,8939,9,70.26
Jhapa,Birtamod Municipality,524 1 04 3 007,11112,36272,30949,481,4840,2,85.32,38838,28804,537,9496,1,74.16
Jhapa,Buddhashanti Gaunpalika,524 1 04 4 002,11102,18100,15131,455,2506,8,83.6,20488,14729,414,5321,24,71.89
Jhapa,Damak Municipality,524 1 04 3 001,11107,32328,28388,534,3400,6,87.81,36817,28302,650,7857,8,76.87
Jhapa,Gauradaha Municipality,524 1 04 3 006,11108,22588,18197,516,3866,9,80.56,25862,17194,510,8141,17,66.48
Jhapa,Gauriganj Gaunpalika,524 1 04 4 003,11109,14255,10711,331,3205,8,75.14,15467,8550,344,6563,10,55.28
Jhapa,Haldibari Gaunpalika,524 1 04 4 006,11113,12016,9826,296,1892,2,81.77,14309,9720,283,4303,3,67.93
Jhapa,Jhapa Gaunpalika,524 1 04 4 004,11110,14797,10102,294,4396,5,68.27,16079,8530,273,7270,6,53.05
Jhapa,Kachanakawal Gaunpalika,524 1 04 4 007,11115,16426,12544,186,3692,4,76.37,18712,10542,222,7942,6,56.34
Jhapa,Kamal Gaunpalika,524 1 04 4 001,11106,18484,15519,386,2579,0,83.96,22263,15656,503,6102,2,70.32
Jhapa,Kankai Municipality,524 1 04 3 003,11104,16698,13749,326,2620,3,82.34,19940,13933,301,5703,3,69.87
Jhapa,Mechinagar Municipality,524 1 04 3 005,11101,48587,40712,672,7186,17,83.79,54553,38662,766,15110,15,70.87
Jhapa,Shivasatakshi Municipality,524 1 04 3 002,11105,27043,22144,598,4292,9,81.88,32339,22042,659,9622,16,68.16
Jumla,Chandannath Municipality,524 6 63 3 001,60404,8341,6492,207,1638,4,77.83,8664,4546,207,3908,3,52.47
Jumla,Guthichaur Gaunpalika,524 6 63 4 007,60405,4215,2877,160,1174,4,68.26,4340,1806,197,2331,6,41.61
Jumla,Hima Gaunpalika,524 6 63 4 004,60408,4388,2865,100,1421,2,65.29,4506,1883,89,2533,1,41.79
Jumla,Kanaka Sundari Gaun Palika,524 6 63 4 001,60402,5741,3829,164,1747,1,66.7,5718,2143,240,3333,2,37.48
Jumla,Patarasi Gaunpalika,524 6 63 4 003,60401,6197,3696,203,2297,1,59.64,6204,1903,176,4123,2,30.67
Jumla,Sinja Gaunpalika,524 6 63 4 002,60403,5153,3645,199,1309,0,70.74,5101,2038,256,2806,1,39.95
Jumla,Tatopani Gaunpalika,524 6 63 4 006,60406,6268,4054,279,1928,7,64.68,6281,2590,330,3355,6,41.24
Jumla,Tila Gaunpalika,524 6 63 4 005,60407,5766,3580,200,1986,0,62.09,5652,2004,168,3478,2,35.46
Kailali,Bardagoriya Gaunpalika,524 7 71 4 005,70806,13891,9779,418,3694,0,70.4,15331,7786,524,7021,0,50.79
Kailali,Bhajani Municipality,524 7 71 3 004,70811,23281,16152,701,6415,13,69.38,23727,12165,871,10674,17,51.27
Kailali,Chure Gaunpalika,524 7 71 4 001,70802,8008,5686,328,1984,10,71,8386,4034,409,3933,10,48.1
Kailali,Dhangadhi Sub-Metropolitian City,524 7 71 2 001,70813,66843,56041,1291,9501,10,83.84,68150,45525,1563,21037,25,66.8
Kailali,Gauriganga Municipality,524 7 71 3 002,70804,23107,16850,803,5452,2,72.92,26319,14085,961,11267,6,53.52
Kailali,Ghodaghodi Municipality,524 7 71 3 003,70805,33029,24829,823,7376,1,75.17,35063,19787,951,14320,5,56.43
Kailali,Godawari Municipality,524 7 71 3 001,30803,32238,24798,1142,6289,9,76.92,37259,21079,1401,14765,14,56.57
Kailali,Janaki Gaunpalika,524 7 71 4 006,51105,20739,15346,399,4992,2,74,23427,13239,491,9686,11,56.51
Kailali,Joshipur Gaunpalika,524 7 71 4 004,70809,16257,11324,396,4535,2,69.66,17111,8812,456,7839,4,51.5
Kailali,Kailari Gaunpalika,524 7 71 4 002,70812,21605,15505,384,5710,6,71.77,22689,12338,482,9860,9,54.38
Kailali,Lamki Chuha Municipality,524 7 71 3 006,70807,31183,23249,813,7105,16,74.56,36046,19945,1022,15042,37,55.33
Kailali,Mohanyal Gaunpalika,524 7 71 4 003,70801,9367,6717,286,2360,4,71.71,9628,4448,292,4881,7,46.2
Kailali,Tikapur Municipality,524 7 71 3 005,70810,32890,25137,707,7043,3,76.43,36851,21646,885,14306,14,58.74
Kalikot,Kalika Gaunpalika,524 6 64 4 005,30304,5879,3982,274,1620,3,67.73,5970,2768,284,2916,2,46.37
Kalikot,Khandachakra Municipality,524 6 64 3 002,60506,8695,6231,346,2108,10,71.66,8365,4174,353,3829,9,49.9
Kalikot,Mahawai Gaunpalika,524 6 64 4 006,60508,3481,2532,141,808,0,72.74,3494,1646,123,1722,3,47.11
Kalikot,Naraharinath Gaunpalika,524 6 64 4 001,60505,8924,5814,399,2692,19,65.15,9174,4264,398,4480,32,46.48
Kalikot,Pachal Jharana Gaunpalika,524 6 64 4 003,60502,5265,3409,286,1569,1,64.75,5143,2323,253,2559,8,45.17
Kalikot,Palata Gaunpalika,524 6 64 4 004,60501,6427,3856,298,2272,1,60,6267,2347,246,3671,3,37.45
Kalikot,Raskot Municipality,524 6 64 3 001,60503,6728,4635,270,1823,0,68.89,6980,3181,278,3518,3,45.57
Kalikot,Sanni Tribeni Gaunpalika,524 6 64 4 002,60504,5358,3664,297,1396,1,68.38,5548,2477,353,2716,2,44.65
Kalikot,Tilagupha Municipality,524 6 64 3 003,60507,6631,4750,260,1619,2,71.63,6618,3135,261,3221,1,47.37
Kanchanpur,Bedkot Municipality,524 7 72 3 003,70903,20960,16914,538,3506,2,80.7,23576,14212,581,8772,11,60.28
Kanchanpur,Beldandi Gaunpalika,524 7 72 3 006,70908,9025,7118,82,1823,2,78.87,10600,5995,128,4472,5,56.56
Kanchanpur,Belouri Municipality,524 7 72 4 001,70909,23177,18610,513,4046,8,80.3,25852,16058,620,9168,6,62.12
Kanchanpur,Bhimdatta Municipality,524 7 72 3 002,70904,46367,40627,746,4982,12,87.62,49393,33434,879,15056,24,67.69
Kanchanpur,Krishnapur Municipality,524 7 72 3 005,70901,24043,18564,616,4858,5,77.21,26707,15156,682,10860,9,56.75
Kanchanpur,Laljhadi Gaunpalika,524 7 72 4 002,70906,9896,7159,237,2497,3,72.34,10306,5313,280,4710,3,51.55
Kanchanpur,Mahakali Municipality,524 7 72 3 001,70303,15908,12976,295,2634,3,81.57,18988,11700,335,6946,7,61.62
Kanchanpur,Punarbas Municipality,524 7 72 3 007,70907,21876,17135,501,4239,1,78.33,25930,15386,626,9911,7,59.34
Kanchanpur,Shuklaphanta Municipality,524 7 72 3 004,70902,19421,15513,418,3486,4,79.88,22520,13226,575,8715,4,58.73
Kapilbastu,Banganga Municipality,524 5 49 3 003,50901,31698,25924,635,5112,27,81.78,37472,24562,797,12070,43,65.55
Kapilbastu,Bijayanagar Gaunpalika,524 5 49 4 001,50904,16577,9121,582,6871,3,55.02,15880,5523,554,9798,5,34.78
Kapilbastu,Buddhabhumi Municipality,524 5 49 3 002,50902,28038,19408,714,7906,10,69.22,29984,14954,750,14269,11,49.87
Kapilbastu,Kapilbastu Municipality,524 5 49 3 006,50907,33962,23276,1132,9517,37,68.54,34289,15924,1182,17104,79,46.44
Kapilbastu,Krishnanagar Municipality,524 5 49 3 004,50905,28639,15850,1287,11452,50,55.34,26449,10144,1238,15015,52,38.35
Kapilbastu,Maharajganj Municipality,524 5 49 3 005,50906,24749,14570,984,9180,15,58.87,23442,8400,912,14096,34,35.83
Kapilbastu,Mayadevi Gaunpalika,524 5 49 4 003,50812,21206,12679,1485,7019,23,59.79,21115,8195,1445,11434,41,38.81
Kapilbastu,Shivaraj Municipality,524 5 49 3 001,50903,29216,19023,874,9299,20,65.11,29872,13672,948,15236,16,45.77
Kapilbastu,Shuddhodhan Gaunpalika,524 5 49 4 004,50806,19808,11946,768,7066,28,60.31,19729,7098,857,11749,25,35.98
Kapilbastu,Yasodhara Gaunpalika,524 5 49 4 002,50908,17371,10751,657,5954,9,61.89,16911,6185,642,10077,7,36.57
Kaski,Annapurna Gaunpalika,524 4 39 4 001,40401,9543,7523,287,1731,2,78.83,11878,7546,313,4016,3,63.53
Kaski,Machhapuchchhre Gaunpalika,524 4 39 4 002,40502,8975,6978,200,1793,4,77.75,10950,6907,252,3780,11,63.08
Kaski,Madi Gaunpalika,524 4 39 4 003,10209,7456,5702,208,1544,2,76.48,9157,5432,240,3480,5,59.32
Kaski,Pokhara Lekhnath Metropolitian City,524 4 39 1 001,40504,176663,161944,2192,12476,51,91.67,195895,151942,2995,40854,104,77.56
Kaski,Rupa Gaunpalika,524 4 39 4 004,40505,5727,4942,103,681,1,86.29,7694,5132,172,2383,7,66.7
Kathmandu,Budhanilkhantha Municipality,524 3 27 3 003,30604,50195,45980,606,3600,9,91.6,50156,39101,832,10205,18,77.96
Kathmandu,Chandragiri Municipality,524 3 27 3 008,30610,39573,35145,640,3771,17,88.81,39453,28989,793,9622,49,73.48
Kathmandu,Dakshinkali Municipality,524 3 27 3 010,30611,11006,9360,269,1369,8,85.04,11663,7685,316,3643,19,65.89
Kathmandu,Gokarneshwor Municipality,524 3 27 3 004,30603,49305,42887,1130,5250,38,86.98,49769,35300,1402,12999,68,70.93
Kathmandu,Kageshwori Manahara Municipality,524 3 27 3 006,30602,27835,24979,667,2184,5,89.74,28033,20547,760,6716,10,73.3
Kathmandu,Kathmandu Metropolitian City,524 3 27 1 001,30601,479910,447899,5449,26489,73,93.33,435633,362573,7080,65813,167,83.23
Kathmandu,Kirtipur Municipality,524 3 27 3 009,30609,34581,32667,333,1578,3,94.47,27540,21256,442,5834,8,77.18
Kathmandu,Nagarjun Municipality,524 3 27 3 005,30607,31568,29059,501,2000,8,92.05,31104,24276,590,6216,22,78.05
Kathmandu,Shankharapur Municipality,524 3 27 3 007,30601,11407,9363,215,1824,5,82.08,12128,7555,231,4325,17,62.29
Kathmandu,Tarakeshwor Municipality,524 3 27 3 001,30507,38154,34466,510,3157,21,90.33,37209,27768,678,8737,26,74.63
Kathmandu,Tokha Municipality,524 3 27 3 002,30605,46892,43564,500,2822,6,92.9,45001,36160,760,8075,6,80.35
Kavrepalanchok,Banepa Municipality,524 3 24 3 002,30904,25278,22846,370,2052,10,90.38,26601,19341,477,6755,28,72.71
Kavrepalanchok,Bethanchowk Gaunpalika,524 3 24 4 003,30910,7021,5436,180,1403,2,77.42,8448,5005,197,3241,5,59.24
Kavrepalanchok,Bhumlu Gaunpalika,524 3 24 4 001,30902,8172,5475,286,2403,8,67,9462,4775,274,4397,16,50.47
Kavrepalanchok,Chauri Deurali Gaunpalika,524 3 24 4 002,30901,8715,5942,288,2478,7,68.18,10657,5416,290,4940,11,50.82
Kavrepalanchok,Dhulikhel Municipality,524 3 24 3 003,30905,14259,12158,270,1828,3,85.27,15621,10210,377,5017,17,65.36
Kavrepalanchok,Khanikhola Gaunpalika,524 3 24 4 006,30913,6220,4299,274,1645,2,69.12,6463,3344,268,2850,1,51.74
Kavrepalanchok,Mahabharat Gaunpalika,524 3 24 4 007,30912,7803,5117,573,2109,4,65.58,8265,4113,673,3470,9,49.76
Kavrepalanchok,Mandan Deupur Municipality,524 3 24 3 001,30903,14149,10600,579,2970,0,74.92,16217,9289,568,6347,13,57.28
Kavrepalanchok,Namobuddha Municipality,524 3 24 3 006,30908,12476,9737,313,2414,12,78.05,14873,8782,349,5723,19,59.05
Kavrepalanchok,Panauti Municipality,524 3 24 3 005,30909,20143,17494,297,2346,6,86.85,23325,15678,388,7235,24,67.22
Kavrepalanchok,Panchkhal Municipality,524 3 24 3 004,30906,16590,13320,433,2832,5,80.29,18791,11462,533,6781,15,61
Kavrepalanchok,Roshi Gaunpalika,524 3 24 4 004,30911,12314,9094,390,2815,15,73.85,14016,7821,402,5765,28,55.8
Kavrepalanchok,Temal Gaunpalika,524 3 24 4 005,30907,9897,7236,266,2392,3,73.11,11459,6497,315,4642,5,56.7
Khotang,Aiselukharka Gaunpalika,524 1 12 4 001,10502,6641,4940,252,1444,5,74.39,7893,4632,319,2931,11,58.68
Khotang,Baraha Pokhari Gaunpalika,524 1 12 4 007,10510,6037,4509,221,1301,6,74.69,6731,3957,220,2546,8,58.79
Khotang,Diprung Gaunpalika,524 1 12 4 004,10507,8278,6735,253,1287,3,81.36,9768,6317,296,3153,2,64.67
Khotang,Halesi Tuwachung Municipality,524 1 12 3 001,10504,12386,9205,597,2576,8,74.32,14039,7994,656,5375,14,56.94
Khotang,Jante Dhunga Gaunpalika,524 1 12 4 008,10509,6631,4780,297,1543,11,72.09,7240,4038,267,2919,16,55.77
Khotang,Kepilasgadhi Gaunpalika,524 1 12 4 002,10501,6522,4541,372,1601,8,69.63,7209,3999,351,2852,7,55.47
Khotang,Khotehang Gaunpalika,524 1 12 4 006,10508,9311,7300,224,1781,6,78.4,10932,6436,276,4208,12,58.87
Khotang,Lamidanda Gaunpalika,524 1 12 4 003,10503,5513,4196,145,1172,0,76.11,6518,3876,149,2493,0,59.47
Khotang,Rupakot Majhuwagadhi Municipality,524 1 12 3 002,10505,19413,16194,491,2716,12,83.42,23010,15586,582,6831,11,67.74
Khotang,Sakela Gaunpalika,524 1 12 4 005,10506,4943,3932,165,840,6,79.55,5611,3598,175,1831,7,64.12
Lalitpur,Bagmati Gaunpalika,524 3 25 4 001,20503,5854,4576,117,1153,8,78.17,5977,3587,133,2249,8,60.01
Lalitpur,Godawari Municipality,524 3 25 3 001,30803,35548,30374,508,4644,22,85.45,37443,24375,662,12372,34,65.1
Lalitpur,Konjyosom Gaunpalika,524 3 25 4 002,30804,4224,2937,241,1036,10,69.53,4720,2341,234,2117,28,49.6
Lalitpur,Lalitpur Metropolitian City,524 3 25 1 001,30801,136803,126295,1724,8753,31,92.32,130984,103912,2514,24504,54,79.33
Lalitpur,Mahalaxmi Municipality,524 3 25 3 002,10701,28870,26252,447,2145,26,90.93,29152,21405,660,7028,59,73.43
Lalitpur,Mahankal Gaunpalika,524 3 25 4 003,30805,4193,3383,131,679,0,80.68,4512,2814,119,1577,2,62.37
Lamjung,Bensi Shahar Municipality,524 4 37 3 002,40605,15957,13700,261,1984,12,85.86,20034,13834,383,5772,45,69.05
Lamjung,Dordi Gaunpalika,524 4 37 4 003,40601,7512,5290,232,1990,0,70.42,9124,4919,334,3868,3,53.91
Lamjung,Dudhapokhari Gaunpalika,524 4 37 4 004,40608,4556,3312,119,1121,4,72.7,5495,3021,169,2300,5,54.98
Lamjung,Kwhola Sothar Gaunpalika,524 4 37 4 001,40603,4059,3035,105,919,0,74.77,5054,2885,137,2032,0,57.08
Lamjung,Madhya Nepal Municipality,524 4 37 3 001,40604,9480,8130,208,1140,2,85.76,12033,8118,270,3643,2,67.46
Lamjung,Marshyangdi Gaunpalika,524 4 37 4 002,40602,7801,5573,238,1988,2,71.44,9288,5012,280,3994,2,53.96
Lamjung,Rainas Municipality,524 4 37 3 004,40607,7325,5775,218,1331,1,78.84,9671,5989,370,3310,2,61.93
Lamjung,Sundarbazar Municipality,524 4 37 3 003,40606,10634,9284,171,1178,1,87.3,14037,9832,289,3912,4,70.04
Mahottari,Aurahi Municipality,524 2 18 3 003,20216,13832,7414,318,6095,5,53.6,14180,4847,355,8977,1,34.18
Mahottari,Balawa Municipality,524 2 18 3 007,20407,18117,9652,350,8093,22,53.28,19242,6075,370,12764,33,31.57
Mahottari,Bardibas Municipality,524 2 18 3 001,20401,28341,20442,473,7420,6,72.13,29876,16353,454,13059,10,54.74
Mahottari,Bhangaha Municipality,524 2 18 3 004,20405,19364,10195,523,8609,37,52.65,22006,7019,576,14320,91,31.9
Mahottari,Ekadara Gaunpalika,524 2 18 4 003,20411,13137,6661,581,5886,9,50.7,12816,4111,577,8116,12,32.08
Mahottari,Gaushala Municipality,524 2 18 3 002,20402,29954,17169,716,12040,29,57.32,29404,11460,634,17279,31,38.97
Mahottari,Jaleshwor Municipality,524 2 18 3 009,20415,25497,17070,807,7594,26,66.95,25785,11995,838,12902,50,46.52
Mahottari,Loharpatti Municipality,524 2 18 3 008,20406,16376,8288,288,7785,15,50.61,18285,5431,334,12499,21,29.7
Mahottari,Mahottari Gaunpalika,524 2 18 4 004,20412,12380,7092,366,4916,6,57.29,12239,4460,363,7414,2,36.44
Mahottari,Manara Shisawa Municipality,524 2 18 3 006,20410,22106,12313,637,8995,161,55.7,22191,8199,565,13193,234,36.95
Mahottari,Matihani Municipality,524 2 18 3 010,20414,13277,6968,250,6050,9,52.48,13917,4483,272,9149,13,32.21
Mahottari,Pipara Gaunpalika,524 2 18 4 005,20413,15872,9672,276,5913,11,60.94,16012,6376,301,9318,17,39.82
Mahottari,Ram Gopalpur Municipality,524 2 18 3 005,20408,12774,6106,542,6115,11,47.8,13672,3774,603,9285,10,27.6
Mahottari,Samsi Gaunpalika,524 2 18 4 002,20409,14570,5733,289,8084,464,39.35,14884,3531,295,10538,520,23.72
Mahottari,Sonama Gaunpalika,524 2 18 4 001,20403,17148,8521,429,8187,11,49.69,16663,4635,428,11582,18,27.82
Makwanpur,Bagmati Gaunpalika,524 3 31 4 008,20503,13068,8251,438,4377,2,63.14,14244,6506,488,7247,3,45.68
Makwanpur,Bakaiya Gaunpalika,524 3 31 4 007,31209,16850,10686,607,5550,7,63.42,18338,9111,497,8720,10,49.68
Makwanpur,Bhimphedi Gaunpalika,524 3 31 4 004,31207,10135,7609,321,2203,2,75.08,11122,6511,317,4288,6,58.54
Makwanpur,Hetauda Sub-Metropolitian City,524 3 31 2 001,31206,69101,59191,1430,8452,28,85.66,72500,52275,1744,18453,28,72.1
Makwanpur,Indrasarowar Gaunpalika,524 3 31 4 005,31201,5949,4118,209,1618,4,69.22,6721,3619,190,2905,7,53.85
Makwanpur,Kailash Gaunpalika,524 3 31 4 003,31203,10445,5971,412,4056,6,57.17,10478,4688,361,5419,10,44.74
Makwanpur,Makawanpurgadhi Gaunpalika,524 3 31 4 006,31208,11092,8467,313,2309,3,76.33,11827,7378,258,4188,3,62.38
Makwanpur,Manahari Gaunpalika,524 3 31 4 001,31205,16569,11961,431,4172,5,72.19,18098,10718,403,6971,6,59.22
Makwanpur,Raksirang Gaunpalika,524 3 31 4 002,31204,11406,6921,466,4013,6,60.68,11437,5448,374,5608,7,47.63
Makwanpur,Thaha Municipality,524 3 31 3 001,31202,18019,13633,382,4000,4,75.66,20021,11698,380,7934,9,58.43
Manang,Chame Gaunpalika,524 4 38 4 003,40203,555,450,1,104,0,81.08,485,328,3,154,0,67.63
Manang,Naraphu Gaunpalika,524 4 38 4 002,40201,241,209,0,32,0,86.72,271,189,0,82,0,69.74
Manang,Nashong Gaunpalika,524 4 38 4 004,40204,888,728,2,158,0,81.98,899,584,5,310,0,64.96
Manang,Neshang Gaunpalika,524 4 38 4 001,40202,1152,882,14,256,0,76.56,960,555,12,393,0,57.81
Morang,Belbari Municipality,524 1 05 3 003,11205,27462,22384,463,4609,6,81.51,33119,21584,479,11034,22,65.17
Morang,Biratnagar Metropolitian City,524 1 05 1 001,11214,99880,85597,1292,12958,33,85.7,97408,70255,1696,25407,50,72.12
Morang,Budhiganga Gaunpalika,524 1 05 4 004,11213,18888,14284,325,4264,15,75.62,19089,10867,421,7778,23,56.93
Morang,Dhanapalthan Gaunpalika,524 1 05 4 008,11216,17351,11454,321,5567,9,66.01,17944,8134,345,9451,14,45.33
Morang,Gramthan Gaunpalika,524 1 05 4 005,11212,14473,11066,209,3194,4,76.46,15776,9120,237,6413,6,57.81
Morang,Jahada Gaunpalika,524 1 05 4 007,11217,18676,11731,392,6528,25,62.81,18288,7662,372,10226,28,41.9
Morang,Kanepokhari Gaunpalika,524 1 05 4 003,11206,15862,12662,262,2935,3,79.83,18979,12206,290,6481,2,64.31
Morang,Katahari Gaunpalika,524 1 05 4 006,11215,18151,12690,371,5083,7,69.91,17637,8863,344,8425,5,50.25
Morang,Kerabari Gaunpalika,524 1 05 4 001,11203,12444,9672,470,2298,4,77.72,15302,10052,569,4680,1,65.69
Morang,Letang Municipality,524 1 05 3 001,11202,12930,10444,321,2161,4,80.77,16305,11396,408,4495,6,69.89
Morang,Miklajung Gaunpalika,524 1 05 4 002,10908,11811,9516,417,1876,2,80.57,14248,9882,419,3940,7,69.36
Morang,Pathari Shanishchare Municipality,524 1 05 3 004,11207,25150,21019,561,3559,11,83.57,30847,21452,628,8746,21,69.54
Morang,Rangeli Municipality,524 1 05 3 006,11211,22550,16306,438,5802,4,72.31,24528,13238,391,10894,5,53.97
Morang,Ratuwamai Municipality,524 1 05 3 008,11209,23502,17410,580,5501,11,74.08,26375,14886,563,10909,17,56.44
Morang,Sundarharaicha Municipality,524 1 05 3 002,11204,34386,28409,812,5154,11,82.62,39689,27060,905,11703,21,68.18
Morang,Sunwarshi Municipality,524 1 05 3 007,11210,22210,14618,679,6903,10,65.82,23181,11100,640,11421,20,47.88
Morang,Urlabari Municipality,524 1 05 3 005,11208,22770,19344,417,3005,4,84.95,27251,19795,471,6981,4,72.64
Mugu,Chhayanath Rara Municipality,524 6 65 3 001,60202,8620,5819,403,2394,4,67.51,8323,3276,418,4620,9,39.36
Mugu,Khatyad Gaunpalika,524 6 65 4 001,60204,7272,4689,436,2139,8,64.48,7195,2702,424,4062,7,37.55
Mugu,Mugumakarmarog Gaunpalika,524 6 65 4 003,60201,2265,1175,40,1049,1,51.88,2426,756,52,1613,5,31.16
Mugu,Soru Gaunpalika,524 6 65 4 002,60203,5079,3311,193,1571,4,65.19,5037,1742,201,3086,8,34.58
Mustang,Bahragaun Muktikshetra Gaunpalika,524 4 45 4 003,40303,1054,690,16,348,0,65.46,1118,526,23,568,1,47.05
Mustang,Dalome Gaunpalika,524 4 45 4 002,40301,624,332,16,276,0,53.21,684,252,19,413,0,36.84
