Districts,Palika,HLCIT_CODE,cbs code,Total_PE,Agriculture_PE,Manufacturing_PE,Construction_PE,Wholesales_PE,Transportations_PE,Accommodations_PE,Financial_PE,Education_PE,Social_Work_PE,Real_Eastate_PE
Jumla,Hima Gaunpalika,524 6 63 4 004,60408,571,7,7,3,240,1,90,2,185,33,3
Jumla,Kanaka Sundari Gaun Palika,524 6 63 4 001,60402,874,40,31,0,278,7,167,8,221,82,40
Jumla,Patarasi Gaunpalika,524 6 63 4 003,60401,821,48,14,24,371,4,48,4,243,42,23
Jumla,Sinja Gaunpalika,524 6 63 4 002,60403,810,30,32,4,300,7,88,31,236,26,56
Jumla,Tatopani Gaunpalika,524 6 63 4 006,60406,813,6,16,3,411,0,40,2,273,40,22
Jumla,Tila Gaunpalika,524 6 63 4 005,60407,926,3,37,0,427,0,94,17,254,50,44
Kailali,Bardagoriya Gaunpalika,524 7 71 4 005,70806,1509,7,146,2,729,4,180,51,270,33,87
Kailali,Bhajani Municipality,524 7 71 3 004,70811,1863,14,191,5,813,17,212,52,416,37,106
Kailali,Chure Gaunpalika,524 7 71 4 001,70802,1204,43,76,1,393,9,340,2,266,42,32
Kailali,Dhangadhi Sub-Metropolitian City,524 7 71 2 001,70813,22909,159,3585,389,8507,311,2640,1316,3493,842,1667
Kailali,Gauriganga Municipality,524 7 71 3 002,70804,2578,14,330,15,1116,4,245,43,567,69,175
Kailali,Ghodaghodi Municipality,524 7 71 3 003,70805,4081,55,331,51,1612,37,395,119,1146,123,212
Kailali,Godawari Municipality,524 7 71 3 001,30803,8531,319,1729,71,2997,130,1045,214,1188,335,503
Kailali,Janaki Gaunpalika,524 7 71 4 006,51105,2516,36,622,43,846,3,205,25,560,61,115
Kailali,Joshipur Gaunpalika,524 7 71 4 004,70809,2535,28,616,14,982,3,164,50,526,63,89
Kailali,Kailari Gaunpalika,524 7 71 4 002,70812,2542,63,623,0,816,5,204,50,486,102,193
Kailali,Lamki Chuha Municipality,524 7 71 3 006,70807,6476,57,1458,135,2387,38,784,301,886,137,293
Kailali,Mohanyal Gaunpalika,524 7 71 4 003,70801,802,19,41,0,322,0,82,4,297,29,8
Kailali,Tikapur Municipality,524 7 71 3 005,70810,9207,194,1418,112,3468,73,823,424,1594,497,604
Kalikot,Kalika Gaunpalika,524 6 64 4 005,30304,817,54,179,10,262,0,51,4,209,41,7
Kalikot,Khandachakra Municipality,524 6 64 3 002,60506,2347,51,165,83,735,45,433,63,391,51,330
Kalikot,Mahawai Gaunpalika,524 6 64 4 006,60508,454,19,63,5,134,0,49,0,144,36,4
Kalikot,Naraharinath Gaunpalika,524 6 64 4 001,60505,1028,38,75,43,384,4,55,0,367,50,12
Kalikot,Pachal Jharana Gaunpalika,524 6 64 4 003,60502,788,43,128,16,258,0,60,0,216,48,19
Kalikot,Palata Gaunpalika,524 6 64 4 004,60501,905,104,156,20,330,5,9,5,208,40,28
Kalikot,Raskot Municipality,524 6 64 3 001,60503,968,63,132,11,410,3,43,9,230,38,29
Kalikot,Sanni Tribeni Gaunpalika,524 6 64 4 002,60504,846,68,137,37,305,0,26,0,238,26,9
Kalikot,Tilagupha Municipality,524 6 64 3 003,60507,1047,48,82,41,312,3,174,16,296,45,30
Kanchanpur,Bedkot Municipality,524 7 72 3 003,70903,3211,82,875,56,1132,8,200,18,679,24,137
Kanchanpur,Beldandi Gaunpalika,524 7 72 3 006,70908,933,0,107,0,353,0,52,31,325,16,49
Kanchanpur,Belouri Municipality,524 7 72 4 001,70909,3964,13,1659,15,905,19,217,98,832,44,162
Kanchanpur,Bhimdatta Municipality,524 7 72 3 002,70904,14114,140,1959,491,4542,290,1625,692,2939,361,1075
Kanchanpur,Krishnapur Municipality,524 7 72 3 005,70901,2253,27,417,0,816,4,181,89,581,31,107
Kanchanpur,Laljhadi Gaunpalika,524 7 72 4 002,70906,1135,10,233,6,450,0,89,5,267,35,40
Kanchanpur,Mahakali Municipality,524 7 72 3 001,70303,2468,95,303,25,1021,0,237,45,571,40,131
Kanchanpur,Punarbas Municipality,524 7 72 3 007,70907,5071,5,1979,0,1395,32,426,69,811,55,299
Kanchanpur,Shuklaphanta Municipality,524 7 72 3 004,70902,2913,73,628,9,879,3,210,84,839,84,104
Kapilbastu,Banganga Municipality,524 5 49 3 003,50901,5954,122,733,44,2725,39,742,191,855,143,360
Kapilbastu,Bijayanagar Gaunpalika,524 5 49 4 001,50904,1046,54,247,0,359,0,95,8,204,42,37
Kapilbastu,Buddhabhumi Municipality,524 5 49 3 002,50902,5992,74,2554,35,1442,104,519,140,809,85,230
Kapilbastu,Kapilbastu Municipality,524 5 49 3 006,50907,5144,9,810,75,1922,73,514,116,922,178,525
Kapilbastu,Krishnanagar Municipality,524 5 49 3 004,50905,4481,42,1313,116,1462,32,454,76,572,177,237
Kapilbastu,Maharajganj Municipality,524 5 49 3 005,50906,3957,15,2236,0,866,4,145,15,487,61,128
Kapilbastu,Mayadevi Gaunpalika,524 5 49 4 003,50812,3034,71,902,8,1107,4,226,32,445,84,155
Kapilbastu,Shivaraj Municipality,524 5 49 3 001,50903,8612,76,3236,538,2471,81,666,151,1026,97,270
Kapilbastu,Shuddhodhan Gaunpalika,524 5 49 4 004,50806,1350,19,349,2,477,2,130,7,258,37,69
Kapilbastu,Yasodhara Gaunpalika,524 5 49 4 002,50908,1040,12,75,0,482,0,107,16,230,27,91
Kaski,Annapurna Gaunpalika,524 4 39 4 001,40401,3610,134,234,44,633,15,1682,104,531,70,163
Kaski,Machhapuchchhre Gaunpalika,524 4 39 4 002,40502,1816,167,134,2,437,7,383,48,520,58,60
Kaski,Madi Gaunpalika,524 4 39 4 003,10209,1053,25,54,4,306,6,150,25,375,72,36
Kaski,Pokhara Lekhnath Metropolitian City,524 4 39 1 001,40504,104469,1515,11143,1130,33146,1620,19489,5898,16958,6031,7539
Kaski,Rupa Gaunpalika,524 4 39 4 004,40505,870,60,53,3,179,14,133,15,346,47,20
Kathmandu,Budhanilkhantha Municipality,524 3 27 3 003,30604,21152,435,2969,229,6947,268,2751,753,4728,665,1407
Kathmandu,Chandragiri Municipality,524 3 27 3 008,30610,26043,429,7762,408,8338,385,2988,1024,2537,685,1487
Kathmandu,Dakshinkali Municipality,524 3 27 3 010,30611,5618,172,1132,323,1309,36,902,240,780,174,550
Kathmandu,Gokarneshwor Municipality,524 3 27 3 004,30603,19968,64,3025,120,6787,106,3036,826,2989,1869,1146
Kathmandu,Kageshwori Manahara Municipality,524 3 27 3 006,30602,10274,107,2129,117,3876,37,1304,306,1678,103,617
Kathmandu,Kathmandu Metropolitian City,524 3 27 1 001,30601,440604,916,29658,9248,119917,20800,57544,56810,48446,23280,73985
Kathmandu,Kirtipur Municipality,524 3 27 3 009,30609,15013,179,2076,334,4066,351,2040,593,3232,628,1514
Kathmandu,Nagarjun Municipality,524 3 27 3 005,30607,11164,134,1801,211,4076,111,1414,296,2347,129,645
Kathmandu,Shankharapur Municipality,524 3 27 3 007,30601,3459,0,280,102,935,12,757,650,428,94,201
Kathmandu,Tarakeshwor Municipality,524 3 27 3 001,30507,12429,89,2317,173,4297,13,1620,1028,1950,121,821
Kathmandu,Tokha Municipality,524 3 27 3 002,30605,24278,245,2319,309,7317,78,3897,1553,3248,2297,3015
Kavrepalanchok,Banepa Municipality,524 3 24 3 002,30904,21356,411,2661,347,5035,393,1754,6082,2523,1074,1076
Kavrepalanchok,Bethanchowk Gaunpalika,524 3 24 4 003,30910,1285,168,164,98,233,8,135,56,325,50,48
Kavrepalanchok,Bhumlu Gaunpalika,524 3 24 4 001,30902,983,40,51,7,244,3,188,50,302,66,32
Kavrepalanchok,Chauri Deurali Gaunpalika,524 3 24 4 002,30901,1204,65,88,26,236,1,107,12,450,116,103
Kavrepalanchok,Dhulikhel Municipality,524 3 24 3 003,30905,6393,196,392,18,1176,61,1529,166,1167,1246,442
Kavrepalanchok,Khanikhola Gaunpalika,524 3 24 4 006,30913,572,21,33,8,132,19,26,18,240,35,40
Kavrepalanchok,Mahabharat Gaunpalika,524 3 24 4 007,30912,709,61,43,14,182,16,33,2,299,33,26
Kavrepalanchok,Mandan Deupur Municipality,524 3 24 3 001,30903,3505,180,737,98,714,6,760,109,576,114,211
Kavrepalanchok,Namobuddha Municipality,524 3 24 3 006,30908,3134,173,872,85,681,12,492,106,503,98,112
Kavrepalanchok,Panauti Municipality,524 3 24 3 005,30909,6495,244,1246,254,1560,38,830,418,1283,204,418
Kavrepalanchok,Panchkhal Municipality,524 3 24 3 004,30906,5396,416,1725,75,1155,48,753,175,754,127,168
Kavrepalanchok,Roshi Gaunpalika,524 3 24 4 004,30911,2265,160,154,237,435,15,218,75,569,190,212
Kavrepalanchok,Temal Gaunpalika,524 3 24 4 005,30907,1278,113,110,4,395,0,110,17,364,124,41
Khotang,Aiselukharka Gaunpalika,524 1 12 4 001,10502,990,115,40,20,274,27,45,42,330,56,41
Khotang,Baraha Pokhari Gaunpalika,524 1 12 4 007,10510,531,71,34,2,140,21,6,0,195,43,19
Khotang,Diprung Gaunpalika,524 1 12 4 004,10507,1074,116,63,8,337,21,44,8,378,64,35
Khotang,Halesi Tuwachung Municipality,524 1 12 3 001,10504,1514,72,72,0,403,43,231,35,525,87,46
Khotang,Jante Dhunga Gaunpalika,524 1 12 4 008,10509,613,65,29,0,129,29,43,8,241,46,23
Khotang,Kepilasgadhi Gaunpalika,524 1 12 4 002,10501,669,65,37,30,113,28,35,18,274,55,14
Khotang,Khotehang Gaunpalika,524 1 12 4 006,10508,1056,117,87,20,195,34,72,22,401,68,40
Khotang,Lamidanda Gaunpalika,524 1 12 4 003,10503,588,61,30,4,126,19,34,4,226,48,36
Khotang,Rupakot Majhuwagadhi Municipality,524 1 12 3 002,10505,3714,149,283,224,994,122,361,181,967,187,246
Khotang,Sakela Gaunpalika,524 1 12 4 005,10506,565,121,54,22,101,10,7,5,201,24,20
