District ,Name of municipalities,HLCIT_CODE,CBS_Code,Total,Without any facility,At least one facility,Radio,Television,Cable television,computer,internet,Tele phone ,Mobile phone
Sankhuwasabha,Silichong Gaunpalika,524 1 09 4 003,10203,2412,592,1709,1525,26,1,2,0,65,891
Bhojpur,Aamchowk Gaunpalika,524 1 10 4 006,10609,3677,1087,2589,2141,148,5,4,0,33,1421
Bhojpur,Arun Gaunpalika,524 1 10 4 003,10605,3782,741,3023,2350,290,16,9,4,23,2359
Bhojpur,Bhojpur Municipality,524 1 10 3 002,10604,6438,1008,5372,4291,1596,298,174,139,538,4263
Bhojpur,Hatuwagadhi Gaunpalika,524 1 10 4 007,10608,4579,1309,3108,2367,251,4,11,2,99,2115
Bhojpur,Pauwa Dunma Gaunpalika,524 1 10 4 005,10606,3280,746,2517,2035,110,2,11,3,59,1920
Bhojpur,Ramprasad Rai Gaunpalika,524 1 10 4 004,10607,4016,952,2942,2414,173,7,3,7,44,2128
Bhojpur,Salpa Silichho Gaunpalika,524 1 10 4 001,10602,2728,720,1996,1740,65,7,9,0,101,1124
Bhojpur,Shadananda Municipality,524 1 10 3 001,10601,6832,1416,5367,4481,630,89,66,15,95,3859
Bhojpur,Tyamke Maiyum Gaunpalika,524 1 10 4 002,10603,4061,935,3068,2507,300,8,6,7,25,2233
Solukhumbu,Dhudha Koushika Gaunpalika,524 1 11 4 006,10305,4240,1167,3015,2772,178,6,14,4,69,1592
Solukhumbu,Dhudhakoshi Gaunpalika,524 1 11 4 004,10304,2803,675,2082,1879,106,25,11,2,64,1078
Solukhumbu,Khumbu Pasanglhamu Gaunpalika,524 1 11 4 001,10301,2433,390,2018,1445,454,677,121,82,349,1414
Solukhumbu,Likhu Pike Gaunpalika,524 1 11 4 003,10308,1168,146,1011,971,119,5,0,0,47,536
Solukhumbu,Mahakulung Gaunpalika,524 1 11 4 002,10302,2450,640,1796,1680,33,9,2,0,30,855
Solukhumbu,Necha Salyan Gaunpalika,524 1 11 4 005,10306,3636,737,2804,2601,230,12,11,5,105,1673
Solukhumbu,Solu Dhudhakunda Municipality,524 1 11 3 001,10307,4980,580,4346,3791,672,469,180,71,529,2794
Solukhumbu,Sotang Gaunpalika,524 1 11 4 007,10303,2048,441,1599,1536,49,1,3,1,49,603
Okhaldhunga,Champadevi Gaunpalika,524 1 13 4 004,10406,3796,1026,2707,2609,89,3,3,0,20,870
Okhaldhunga,Chishankhu Gadhi Gaunpalika,524 1 13 4 006,10401,3334,616,2605,2454,76,5,3,0,57,1419
Okhaldhunga,Khiji Demba Gaunpalika,524 1 13 4 001,10404,3111,509,2469,2276,189,5,11,0,29,1206
Okhaldhunga,Likhu Gaunpalika,524 1 13 4 002,10405,2957,690,2243,2037,122,8,7,3,65,1241
Okhaldhunga,Manebhanjyang Gaunpalika,524 1 13 4 007,10408,4618,1212,3230,2914,302,27,18,5,187,1554
Okhaldhunga,Molung Gaunpalika,524 1 13 4 003,10403,3669,699,2918,2650,143,8,6,0,64,1693
Okhaldhunga,Siddhicharan Municipality,524 1 13 3 001,10402,6994,1209,5637,4896,580,718,176,92,671,3842
Okhaldhunga,Sunkoshi Gaunpalika,524 1 13 4 005,10407,3987,979,2906,2542,166,8,5,53,34,2083
Khotang,Aiselukharka Gaunpalika,524 1 12 4 001,10502,3491,927,2524,2394,99,6,10,0,134,884
Khotang,Baraha Pokhari Gaunpalika,524 1 12 4 007,10510,2702,952,1715,1465,97,1,0,2,88,821
Khotang,Diprung Gaunpalika,524 1 12 4 004,10507,4140,1052,3038,2749,129,8,6,0,197,1440
Khotang,Halesi Tuwachung Municipality,524 1 12 3 001,10504,5838,1697,4025,3478,453,20,41,7,126,2128
Khotang,Jante Dhunga Gaunpalika,524 1 12 4 008,10509,3175,919,2097,1912,81,2,3,1,93,956
Khotang,Kepilasgadhi Gaunpalika,524 1 12 4 002,10501,3347,1372,1859,1689,102,22,6,0,84,696
Khotang,Khotehang Gaunpalika,524 1 12 4 006,10508,4703,1370,3221,2903,419,38,34,3,213,1632
Khotang,Lamidanda Gaunpalika,524 1 12 4 003,10503,2793,708,2012,1790,146,65,20,5,60,1282
Khotang,Rupakot Majhuwagadhi Municipality,524 1 12 3 002,10505,10050,1743,8051,6650,2416,790,355,102,578,6385
Khotang,Sakela Gaunpalika,524 1 12 4 005,10506,2408,356,1952,1760,86,11,4,6,60,1258
Udayapur,Belaka Municipality,524 1 14 3 004,11401,8930,1681,7152,4139,2119,52,53,10,114,5983
Udayapur,Chaudandigadhi Municipality,524 1 14 3 003,11402,10519,1517,8902,4736,4598,437,227,29,416,7440
Udayapur,Katari Municipality,524 1 14 3 001,11407,11717,2848,8780,5068,2255,1274,189,39,496,6588
Udayapur,Rautamai Gaunpalika,524 1 14 4 004,11404,4666,1693,2938,2219,194,274,29,1,202,1593
Udayapur,Sunkoshi Gaunpalika,524 1 14 4 002,10407,2316,817,1472,1326,52,0,3,1,30,776
Udayapur,Tapli Gaunpalika,524 1 14 4 001,11406,2703,956,1700,1564,42,1,3,0,47,660
Udayapur,Triyuga Municipality,524 1 14 3 002,11403,19484,2418,16874,8312,7137,4138,970,218,1164,14594
Udayapur,Udayapurgadhi Gaunpalika,524 1 14 4 003,11408,6179,2000,4105,2906,351,18,23,2,56,2944
Saptari,Agmisair Krishna Sabaran Gaunpalika,524 2 15 4 002,20103,5422,1250,4138,1870,1824,139,75,3,78,2732
Saptari,Balan-Bihul Gaunpalika,524 2 15 4 004,20108,3976,926,2963,1917,140,2,7,4,15,1640
Saptari,Belhi Chapena Gaunpalika,524 2 15 4 006,20111,5242,828,4330,2192,929,43,15,1,12,2344
Saptari,Bishnupur Gaunpalika,524 2 15 4 007,20112,4370,833,3482,1528,1397,166,42,9,50,2351
Saptari,Bode Barsain Municipality,524 2 15 3 006,20109,8022,1541,6132,3124,1396,26,45,5,12,3780
Saptari,Chhinnamasta Gaunpalika,524 2 15 4 008,20118,5439,1607,3675,1720,906,56,32,4,12,2097
Saptari,Dakneshwori Municipality,524 2 15 3 007,20110,8149,1635,6263,3138,1364,23,59,3,45,4081
Saptari,Hanumannagar Kankalini Municipality,524 2 15 3 009,20116,8152,1900,5931,3108,1840,169,76,14,136,3378
Saptari,Kanchanrup Municipality,524 2 15 3 005,20102,10192,1925,8000,3787,4084,538,149,19,396,5189
Saptari,Khadak Municipality,524 2 15 3 002,20106,8615,1302,7159,2520,3034,171,121,17,101,5208
Saptari,Mahadewa Gaunpalika,524 2 15 4 005,20114,5395,1399,3930,1508,1099,91,36,5,21,2154
Saptari,Rajbiraj Municipality,524 2 15 3 008,20113,13350,1538,11587,6661,5006,2722,925,254,1372,8453
Saptari,Rupani Gaunpalika,524 2 15 4 001,20104,5012,988,3977,1636,1445,68,44,6,32,2853
Saptari,Saptakoshi Municipality,524 2 15 3 004,20101,4539,888,3595,1481,2062,315,81,9,156,2621
Saptari,Shambhunath Municipality,524 2 15 3 003,20105,6764,971,5662,2471,2416,132,89,7,32,4098
Saptari,Surunga Municipality,524 2 15 3 001,20107,8650,1400,7100,3588,2103,73,76,5,45,5072
Saptari,Tilathi Koiladi Gaunpalika,524 2 15 4 009,20117,5697,1596,4003,1894,1495,83,51,8,44,2158
Saptari,Tirahut Gaunpalika,524 2 15 4 003,20115,4078,943,3006,1498,613,17,18,3,24,1691
Siraha,Arnama Gaunpalika,524 2 16 4 003,20209,4047,968,2921,1413,961,31,19,1,24,2107
Siraha,Aurahi Gaunpalika,524 2 16 4 004,20216,4245,930,3179,1982,206,9,4,0,24,1866
Siraha,Bariyarpatti Gaunpalika,524 2 16 4 005,20215,4264,810,3376,1747,686,51,18,0,27,2413
Siraha,Bhagawanpur Gaunpalika,524 2 16 4 009,20213,3661,893,2665,1221,839,23,20,2,9,1601
Siraha,Bishnupur Gaunpalika,524 2 16 4 002,20112,3469,797,2647,1151,1221,33,30,4,32,2212
Siraha,Dhangadhimai Municipality,524 2 16 3 004,20202,8757,1528,6982,3629,3126,124,113,14,68,4843
